"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00015555","1872-09","32.38333","-86.3","78.0","MONTGOMERY WEATHER BUREAU OFFICE, AL US","","","","","6","4,0","4","4,0","1","4,0","","","0","4,0","","","","","","","","","","","","","","","","","18720930","+,4,0","","","18720911",",4,0","","","","","","","0","4,,0,30,+","78.5","4,,0,11,","","","","","","","92.6","4,,,0","0","4,,,0","","","","","",""
"USC00015555","1872-10","32.38333","-86.3","78.0","MONTGOMERY WEATHER BUREAU OFFICE, AL US","","","31.1",",0","6",",0","3",",0","0",",0","","","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","","","18721015",",,0","","","18721031","+,,0","","","18721031",",,0","18721005",",,0","2.2",",0,15,","","","0",",,0,31,+","4.6",",,0,31,","28.9",",0,05,","","","55.0",",0","13.6",",,,0","0",",,,0","17.56",",0","23.43",",,,0","11.70",",,,0"
"USC00015555","1872-11","32.38333","-86.3","78.0","MONTGOMERY WEATHER BUREAU OFFICE, AL US","","","1.9",",0","8",",0","7",",0","1",",0","","","0",",0","0",",0","9",",0","0",",0","2",",0","0",",0","","","18721130",",,0","","","18721130","+,,0","","","18721106",",,0","18721113",",,0","-6.1",",0,30,","","","0",",,0,30,+","58.2",",,0,06,","25.0",",0,13,","","","243.5",",0","145.5",",,,0","0",",,,0","10.28",",0","15.23",",,,0","5.33",",,,0"
"USC00015555","1872-12","32.38333","-86.3","78.0","MONTGOMERY WEATHER BUREAU OFFICE, AL US","","","0.0",",0","12",",0","8",",0","1",",0","","","0",",0","0",",0","13",",0","1",",0","1",",0","0",",0","","","18721227",",,0","","","18721231","+,,0","","","18721220",",,0","18721231",",,0","-7.2",",0,27,","","","0",",,0,31,+","31.8",",,0,20,","21.1",",0,31,","","","338.5",",0","103.7",",,,0","0",",,,0","7.41",",0","12.40",",,,0","2.43",",,,0"
"USC00015555","1873-01","32.38333","-86.3","78.0","MONTGOMERY WEATHER BUREAU OFFICE, AL US","0.0","0","0.0",",0","11",",0","7",",0","3",",0","","","0",",0","0",",0","14",",0","2",",0","1",",0","0",",0","","","18730119",",,0","","","18730131","+,,0","","","18730123",",,0","18730115",",,0","-10.0",",0,19,","","","0",",,0,31,+","38.4",",,0,23,","21.1",",0,15,","","","372.1",",0","126.4",",,,0","0",",,,0","6.33",",0","11.00",",,,0","1.65",",,,0"
"USC00015555","1873-02","32.38333","-86.3","78.0","MONTGOMERY WEATHER BUREAU OFFICE, AL US","0.5","0","0.5",",0","12",",0","11",",0","3",",0","","","0",",0","0",",0","2",",0","0",",0","2",",0","0",",0","","","18730224","+,,0","","","18730228","+,,0","","","18730215",",,0","18730204",",,0","-0.6",",0,24,+","","","0",",,0,28,+","72.9",",,0,15,","24.4",",0,04,","","","184.4",",0","253.2",",,,0","0",",,,0","11.76",",0","16.78",",,,0","6.75",",,,0"
"USC00015555","1873-03","32.38333","-86.3","78.0","MONTGOMERY WEATHER BUREAU OFFICE, AL US","3.6","0","3.1",",0","11",",0","7",",0","2",",0","","","0",",0","0",",0","5",",0","0",",0","9",",0","0",",0","","","18730304",",,0","","","18730331","+,,0","","","18730302",",,0","18730330",",,0","-3.9",",0,04,","","","0",",,0,31,+","27.4",",,0,02,","26.7",",0,30,","","","194.2",",0","114.6",",,,0","0",",,,0","12.17",",0","17.70",",,,0","6.63",",,,0"
"USC00015555","1873-04","32.38333","-86.3","78.0","MONTGOMERY WEATHER BUREAU OFFICE, AL US","48.6","0","45.0",",0","7",",0","5",",0","3",",0","","","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","","","18730410",",,0","","","18730430","+,,0","","","18730429",",,0","18730406","+,,0","4.4",",0,10,","","","0",",,0,30,+","59.4",",,0,29,","31.1",",0,06,+","","","59.1",",0","141.5",",,,0","0",",,,0","17.86",",0","23.76",",,,0","11.96",",,,0"
"USC00015555","1873-05","32.38333","-86.3","78.0","MONTGOMERY WEATHER BUREAU OFFICE, AL US","217.2","0","168.6",",0","13",",0","9",",0","5",",0","","","0",",0","0",",0","0",",0","0",",0","31",",0","5",",0","","","18730503",",,0","","","18730531","+,,0","","","18730501",",,0","18730524",",,0","11.1",",0,03,","","","0",",,0,31,+","88.1",",,0,01,","35.0",",0,24,","","","2.5",",0","260.3",",,,0","0",",,,0","23.69",",0","28.91",",,,0","18.47",",,,0"
"USC00015555","1873-06","32.38333","-86.3","78.0","MONTGOMERY WEATHER BUREAU OFFICE, AL US","472.6","0","255.4",",0","17",",0","15",",0","5",",0","","","0",",0","0",",0","0",",0","0",",0","30",",0","11",",0","","","18730601",",,0","","","18730630","+,,0","","","18730611",",,0","18730621",",,0","18.3",",0,01,","","","0",",,0,30,+","50.3",",,0,11,","35.0",",0,21,","","","0.0",",0","281.4",",,,0","0",",,,0","26.85",",0","31.41",",,,0","22.28",",,,0"
