"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00087424","1896-05","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","187.8","5,0","5","4,0","4","4,0","2","4,0","","","","","0","5,0","0","5,0","0","4,0","27","4,0","16","4,0","","","18960512","+,5,0","","","","","","","18960521",",4,0","18960530",",4,0","15.6","5,0,12,+","","","","","69.9","4,,0,21,","36.7","4,0,30,","","","0.0","4,0","129.1","4,,,0","","","25.58","5,0","32.26","4,,,0","18.90","5,,,0"
"USC00087424","1896-06","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","239.4",",0","15",",0","12",",0","5",",0","","","","","0",",0","0",",0","0",",0","30",",0","13",",0","","","18960611",",,0","","","","","","","18960610","+,,0","18960628",",,0","15.6",",0,11,","","","","","48.3",",,0,10,+","36.1",",0,28,","","","0.0",",0","330.8",",,,0","","","26.31",",0","31.42",",,,0","21.20",",,,0"
"USC00087424","1896-07","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","","","12","1,0","11","1,0","4","1,0","","","","","","","","","0","1,0","30","1,0","22","1,0","","","","","","","","","","","18960703",",1,0","18960731",",1,0","","","","","","","61.0","1,,0,03,","37.2","1,0,31,","","","","","264.3","1,,,0","","","","","33.78","1,,,0","",""
"USC00087424","1897-02","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","","","16","4,0","14","4,0","6","4,0","","","","","0","5,0","0","5,0","0","5,0","5","5,0","0","5,0","","","18970227",",5,0","","","","","","","18970216",",4,0","18970222",",5,0","1.1","5,0,27,","","","","","55.1","4,,0,16,","27.2","5,0,22,","","","","","315.1","4,,,0","","","14.43","6,0","17.39","5,,,0","11.47","5,,,0"
"USC00087424","1897-03","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","64.2","3,0","7","1,0","6","1,0","2","1,0","","","","","0","2,0","0","2,0","0","2,0","20","2,0","0","2,0","","","18970325",",2,0","","","","","","","18970306",",1,0","18970315",",2,0","3.9","2,0,25,","","","","","67.8","1,,0,06,","28.3","2,0,15,","","","37.0","2,0","170.2","1,,,0","","","19.34","3,0","23.22","2,,,0","15.46","2,,,0"
"USC00087424","1897-04","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","88.9","4,0","5","1,0","4","1,0","4","1,0","","","","","0","3,0","0","3,0","0","2,0","26","2,0","0","2,0","","","18970410",",3,0","","","","","","","18970405",",1,0","18970427",",2,0","11.7","3,0,10,","","","","","58.9","1,,0,05,","30.0","2,0,27,","","","3.0","2,0","194.6","1,,,0","","","21.37","4,0","24.60","2,,,0","18.13","3,,,0"
"USC00087424","1897-05","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","229.6","1,0","2","1,0","2","1,0","2","1,0","","","","","0","1,0","0","1,0","0","1,0","30","1,0","6","1,0","","","18970503",",1,0","","","","","","","18970511",",1,0","18970531","+,1,0","17.8","1,0,03,","","","","","44.2","1,,0,11,","32.8","1,0,31,+","","","0.0","1,0","75.7","1,,,0","","","25.99","1,0","29.57","1,,,0","22.41","1,,,0"
"USC00087424","1897-06","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","423.1",",0","5",",0","5",",0","2",",0","","","","","0",",0","0",",0","0",",0","30",",0","30",",0","","","18970608","+,,0","","","","","","","18970603",",,0","18970626",",,0","24.4",",0,08,+","","","","","42.4",",,0,03,","42.2",",0,26,","","","0.0",",0","101.9",",,,0","","","32.44",",0","37.23",",,,0","27.64",",,,0"
"USC00087424","1897-09","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","137.0",",0","9",",0","9",",0","3",",0","","","","","0",",0","0",",0","0",",0","29",",0","2",",0","","","18970922",",,0","","","","","","","18970929",",,0","18970903",",,0","9.4",",0,22,","","","","","52.6",",,0,29,","33.3",",0,03,","","","5.3",",0","216.1",",,,0","","","22.72",",0","28.72",",,,0","16.73",",,,0"
"USC00087424","1898-01","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","18.6","","18.6","2,0","5",",0","3",",0","1",",0","","","","","0","1,0","4","1,0","0","1,0","13","1,0","0","1,0","","","18980131",",1,0","","","","","","","18980130",",,0","18980125","+,1,0","-5.0","1,0,31,","","","","","26.2",",,0,30,","25.6","1,0,25,+","","","108.8","1,0","52.4",",,,0","","","15.18","2,0","19.06","1,,,0","11.30","1,,,0"
"USC00087424","1901-02","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","0.0",",0","8",",0","7",",0","2",",0","","","","","0",",0","7",",0","0",",0","2",",0","0",",0","","","19010224",",,0","","","","","","","19010226",",,0","19010218",",,0","-5.0",",0,24,","","","","","35.6",",,0,26,","23.9",",0,18,","","","240.7",",0","135.2",",,,0","","","9.74",",0","15.49",",,,0","3.98",",,,0"
"USC00087424","1901-03","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","13.1",",0","4",",0","4",",0","1",",0","","","","","0",",0","6",",0","0",",0","18",",0","0",",0","","","19010307",",,0","","","","","","","19010314",",,0","19010330",",,0","-6.1",",0,07,","","","","","51.6",",,0,14,","27.8",",0,30,","","","146.4",",0","101.0",",,,0","","","14.03",",0","21.03",",,,0","7.04",",,,0"
"USC00087424","1901-04","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","10.9","1,0","1","1,0","1","1,0","0","1,0","","","","","0",",0","0",",0","0","1,0","24","1,0","0","1,0","","","19010420",",,0","","","","","","","19010420",",1,0","19010428","+,1,0","3.9",",0,20,","","","","","10.2","1,,0,20,","29.4","1,0,28,+","","","64.4","1,0","10.2","1,,,0","","","16.46","1,0","23.97","1,,,0","8.94",",,,0"
"USC00087424","1901-05","30.58333","-84.58333","75.9","QUINCY EXPERIMENT ST, FL US","","","183.4",",0","3",",0","3",",0","1",",0","","","","","0",",0","0",",0","0",",0","31",",0","22",",0","","","19010501",",,0","","","","","","","19010530",",,0","19010524",",,0","8.9",",0,01,","","","","","101.6",",,0,30,","36.7",",0,24,","","","0.5",",0","124.5",",,,0","","","24.23",",0","32.59",",,,0","15.88",",,,0"
