"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00091585","1891-08","34.2071","-84.5039","345.9","CANTON, GA US","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","","","18910831","+,,6","","","","","","","","","","","0",",,6,31,+","","","","","","","","","0",",,,6","","","","","",""
"USC00091585","1891-09","34.2071","-84.5039","345.9","CANTON, GA US","","","7",",6","3",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","18910930","+,,6","","","18910913",",,6","","","","","","","0",",,6,30,+","20.3",",,6,13,","","","","","52.9",",,,6","0",",,,6","","","","","",""
"USC00091585","1891-10","34.2071","-84.5039","345.9","CANTON, GA US","","","0",",6","0",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","18911031","+,,6","","","18911019",",,6","","","","","","","0",",,6,31,+","0.0",",T,6,19,","","","","","0.0",",T,,6","0",",,,6","","","","","",""
"USC00091585","1891-11","34.2071","-84.5039","345.9","CANTON, GA US","","","7",",6","6",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","18911130","+,,6","","","18911122",",,6","","","","","","","0",",,6,30,+","27.9",",,6,22,","","","","","112.8",",,,6","0",",,,6","","","","","",""
"USC00091585","1891-12","34.2071","-84.5039","345.9","CANTON, GA US","","","8",",6","7",",6","3",",6","","","0",",6","","","","","","","","","","","","","","","","","18911231","+,,6","","","18911207",",,6","","","","","","","0",",,6,31,+","32.8",",,6,07,","","","","","137.9",",,,6","0",",,,6","","","","","",""
"USC00091585","1892-01","34.2071","-84.5039","345.9","CANTON, GA US","","","9",",6","9",",6","4",",6","","","0",",6","","","","","","","","","","","","","","","","","18920109","+,,6","","","18920113",",,6","","","","","","","3",",,6,09,+","146.1",",,6,13,","","","","","319.9",",,,6","6",",,,6","","","","","",""
"USC00091585","1892-02","34.2071","-84.5039","345.9","CANTON, GA US","","","6",",6","6",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","18920229","+,,6","","","18920208",",,6","","","","","","","0",",,6,29,+","16.5",",,6,08,","","","","","63.0",",,,6","0",",,,6","","","","","",""
"USC00091585","1892-03","34.2071","-84.5039","345.9","CANTON, GA US","","","9",",6","8",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","18920331","+,,6","","","18920308",",,6","","","","","","","0",",,6,31,+","50.8",",,6,08,","","","","","158.2",",,,6","0",",,,6","","","","","",""
"USC00091585","1892-04","34.2071","-84.5039","345.9","CANTON, GA US","","","10",",6","8",",6","3",",6","","","0",",6","","","","","","","","","","","","","","","","","18920430","+,,6","","","18920406",",,6","","","","","","","0",",,6,30,+","84.1",",,6,06,","","","","","202.7",",,,6","0",",,,6","","","","","",""
"USC00091585","1892-05","34.2071","-84.5039","345.9","CANTON, GA US","","","9","1,6","6","1,6","0","1,6","","","0",",6","","","","","","","","","","","","","","","","","18920531","+,,6","","","18920522",",1,6","","","","","","","0",",,6,31,+","17.3","1,,6,22,","","","","","67.6","1,,,6","0",",,,6","","","","","",""
"USC00091585","1892-06","34.2071","-84.5039","345.9","CANTON, GA US","","","10",",6","10",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","18920630","+,,6","","","18920603",",,6","","","","","","","0",",,6,30,+","25.1",",,6,03,","","","","","133.3",",,,6","0",",,,6","","","","","",""
"USC00091585","1892-07","34.2071","-84.5039","345.9","CANTON, GA US","","","8",",6","8",",6","3",",6","","","0",",6","","","","","","","","","","","","","","","","","18920731","+,,6","","","18920706",",,6","","","","","","","0",",,6,31,+","49.3",",,6,06,","","","","","167.6",",,,6","0",",,,6","","","","","",""
"USC00091585","1892-08","34.2071","-84.5039","345.9","CANTON, GA US","","","12",",6","9",",6","3",",6","","","0",",6","","","","","","","","","","","","","","","","","18920831","+,,6","","","18920824",",,6","","","","","","","0",",,6,31,+","35.6",",,6,24,","","","","","194.9",",,,6","0",",,,6","","","","","",""
"USC00091585","1892-09","34.2071","-84.5039","345.9","CANTON, GA US","","","3",",6","3",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","18920930","+,,6","","","18920913",",,6","","","","","","","0",",,6,30,+","28.4",",,6,13,","","","","","41.3",",,,6","0",",,,6","","","","","",""
"USC00091585","1892-10","34.2071","-84.5039","345.9","CANTON, GA US","","","1",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","18921031","+,,6","","","18921025",",,6","","","","","","","0",",,6,31,+","10.2",",,6,25,","","","","","10.2",",,,6","0",",,,6","","","","","",""
"USC00091585","1892-11","34.2071","-84.5039","345.9","CANTON, GA US","","","8",",6","8",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","18921130","+,,6","","","18921110",",,6","","","","","","","0",",,6,30,+","42.2",",,6,10,","","","","","175.6",",,,6","0",",,,6","","","","","",""
"USC00091585","1892-12","34.2071","-84.5039","345.9","CANTON, GA US","","","5",",6","5",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","18921228",",,6","","","18921220",",,6","","","","","","","0",",T,6,28,","27.9",",,6,20,","","","","","72.3",",,,6","0",",T,,6","","","","","",""
"USC00091585","1893-01","34.2071","-84.5039","345.9","CANTON, GA US","","","4",",6","4",",6","1",",6","","","1",",6","","","","","","","","","","","","","","","","","18930119",",,6","","","18930119",",,6","","","","","","","25",",,6,19,","25.4",",,6,19,","","","","","67.1",",,,6","25",",,,6","","","","","",""
"USC00091585","1893-02","34.2071","-84.5039","345.9","CANTON, GA US","","","13",",6","11",",6","4",",6","","","0",",6","","","","","","","","","","","","","","","","","18930228","+,,6","","","18930211",",,6","","","","","","","0",",,6,28,+","42.9",",,6,11,","","","","","220.4",",,,6","0",",,,6","","","","","",""
"USC00091585","1893-03","34.2071","-84.5039","345.9","CANTON, GA US","","","7",",6","7",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","18930318",",,6","","","18930309",",,6","","","","","","","0",",T,6,18,","37.1",",,6,09,","","","","","84.6",",,,6","0",",T,,6","","","","","",""
"USC00091585","1893-04","34.2071","-84.5039","345.9","CANTON, GA US","","","7",",6","7",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","18930430","+,,6","","","18930420",",,6","","","","","","","0",",,6,30,+","13.2",",,6,20,","","","","","46.1",",,,6","0",",,,6","","","","","",""
"USC00091585","1893-05","34.2071","-84.5039","345.9","CANTON, GA US","","","10",",6","8",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","18930531","+,,6","","","18930507",",,6","","","","","","","0",",,6,31,+","55.4",",,6,07,","","","","","147.1",",,,6","0",",,,6","","","","","",""
"USC00091585","1893-06","34.2071","-84.5039","345.9","CANTON, GA US","","","9",",6","9",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","18930630","+,,6","","","18930606",",,6","","","","","","","0",",,6,30,+","50.8",",,6,06,","","","","","162.4",",,,6","0",",,,6","","","","","",""
"USC00091585","1893-07","34.2071","-84.5039","345.9","CANTON, GA US","","","1",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","18930731","+,,6","","","18930709",",,6","","","","","","","0",",,6,31,+","14.2",",,6,09,","","","","","14.2",",,,6","0",",,,6","","","","","",""
"USC00091585","1893-08","34.2071","-84.5039","345.9","CANTON, GA US","","","7",",6","6",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","18930831","+,,6","","","18930807",",,6","","","","","","","0",",,6,31,+","15.2",",,6,07,","","","","","57.7",",,,6","0",",,,6","","","","","",""
"USC00091585","1893-09","34.2071","-84.5039","345.9","CANTON, GA US","","","8",",6","8",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","18930930","+,,6","","","18930901",",,6","","","","","","","0",",,6,30,+","57.4",",,6,01,","","","","","156.4",",,,6","0",",,,6","","","","","",""
"USC00091585","1893-10","34.2071","-84.5039","345.9","CANTON, GA US","","","3",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","18931031","+,,6","","","18931014","+,,6","","","","","","","0",",,6,31,+","6.1",",,6,14,+","","","","","13.5",",,,6","0",",,,6","","","","","",""
"USC00091585","1893-11","34.2071","-84.5039","345.9","CANTON, GA US","","","4",",6","4",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","18931130","+,,6","","","18931128","+,,6","","","","","","","0",",,6,30,+","15.2",",,6,28,+","","","","","40.1",",,,6","0",",,,6","","","","","",""
"USC00091585","1893-12","34.2071","-84.5039","345.9","CANTON, GA US","","","4",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","18931204",",,6","","","","","","","","","21.6",",,6,04,","","","","","56.4",",,,6","","","","","","","",""
"USC00091585","1894-01","34.2071","-84.5039","345.9","CANTON, GA US","","","12",",6","11",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","18940109","+,,6","","","","","","","","","25.4",",,6,09,+","","","","","169.8",",,,6","","","","","","","",""
"USC00091585","1894-02","34.2071","-84.5039","345.9","CANTON, GA US","","","10",",6","9",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","18940226",",,6","","","18940209",",,6","","","","","","","5",",,6,26,","24.6",",,6,09,","","","","","103.9",",,,6","8",",,,6","","","","","",""
"USC00091585","1894-03","34.2071","-84.5039","345.9","CANTON, GA US","","","7",",6","6",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","18940331","+,,6","","","18940321",",,6","","","","","","","0",",,6,31,+","36.3",",,6,21,","","","","","74.2",",,,6","0",",,,6","","","","","",""
"USC00091585","1894-04","34.2071","-84.5039","345.9","CANTON, GA US","","","6",",6","5",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","18940430","+,,6","","","18940410",",,6","","","","","","","0",",,6,30,+","30.5",",,6,10,","","","","","78.1",",,,6","0",",,,6","","","","","",""
"USC00091585","1894-05","34.2071","-84.5039","345.9","CANTON, GA US","","","6",",6","5",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","18940531","+,,6","","","18940515",",,6","","","","","","","0",",,6,31,+","41.7",",,6,15,","","","","","76.3",",,,6","0",",,,6","","","","","",""
"USC00091585","1894-06","34.2071","-84.5039","345.9","CANTON, GA US","","","4",",6","2",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","18940630","+,,6","","","18940622",",,6","","","","","","","0",",,6,30,+","51.6",",,6,22,","","","","","67.1",",,,6","0",",,,6","","","","","",""
"USC00091585","1894-07","34.2071","-84.5039","345.9","CANTON, GA US","","","11",",6","11",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","18940731","+,,6","","","18940722",",,6","","","","","","","0",",,6,31,+","40.6",",,6,22,","","","","","133.3",",,,6","0",",,,6","","","","","",""
"USC00091585","1894-08","34.2071","-84.5039","345.9","CANTON, GA US","","","9",",6","9",",6","4",",6","","","0",",6","","","","","","","","","","","","","","","","","18940831","+,,6","","","18940826",",,6","","","","","","","0",",,6,31,+","49.5",",,6,26,","","","","","204.4",",,,6","0",",,,6","","","","","",""
"USC00091585","1894-09","34.2071","-84.5039","345.9","CANTON, GA US","","","6",",6","5",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","18940930","+,,6","","","18940918",",,6","","","","","","","0",",,6,30,+","110.2",",,6,18,","","","","","144.1",",,,6","0",",,,6","","","","","",""
