"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00112614","1910-07","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","10",",6","9",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19100731","+,,6","","","19100729",",,6","","","","","","","0",",,6,31,+","25.1",",,6,29,","","","","","","","127.0",",,,6","0",",,,6","","","","","",""
"USC00112614","1910-08","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","6",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19100807",",,6","","","","","","","","","21.1",",,6,07,","","","","","","","43.7",",,,6","","","","","","","",""
"USC00112614","1910-09","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","10",",6","9",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","19100930","+,,6","","","19100904",",,6","","","","","","","0",",,6,30,+","56.1",",,6,04,","","","","","","","164.8",",,,6","0",",,,6","","","","","",""
"USC00112614","1910-10","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","7",",6","3",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","19101031","+,,6","","","19101006",",,6","","","","","","","0",",,6,31,+","59.2",",,6,06,","","","","","","","82.3",",,,6","0",",,,6","","","","","",""
"USC00112614","1910-11","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","3",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19101130","+,,6","","","19101128",",,6","","","","","","","0",",,6,30,+","4.1",",,6,28,","","","","","","","6.4",",,,6","0",",,,6","","","","","",""
"USC00112614","1910-12","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","6",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19101228",",,6","","","","","","","","","15.2",",,6,28,","","","","","","","31.5",",,,6","","","","","","","",""
"USC00112614","1911-01","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","5",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19110131","+,,6","","","19110113",",,6","","","","","","","0",",,6,31,+","6.1",",,6,13,","","","","","","","15.4",",,,6","0",",,,6","","","","","",""
"USC00112614","1911-02","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","7",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19110219",",,6","","","","","","","","","23.4",",,6,19,","","","","","","","74.0",",,,6","","","","","","","",""
"USC00112614","1911-03","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","9",",6","5",",6","0",",6","","","1",",6","","","","","","","","","","","","","","","","","19110331",",,6","","","19110307",",,6","","","","","","","102",",,6,31,","18.3",",,6,07,","","","","","","","61.1",",,,6","115",",,,6","","","","","",""
"USC00112614","1911-04","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","12",",6","10",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","19110430","+,,6","","","19110430",",,6","","","","","","","0",",,6,30,+","68.1",",,6,30,","","","","","","","170.4",",,,6","0",",,,6","","","","","",""
"USC00112614","1911-05","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","","","19110531","+,,6","","","","","","","","","","","0",",,6,31,+","","","","","","","","","","","0",",,,6","","","","","",""
"USC00112614","1911-06","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","9",",6","7",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19110630","+,,6","","","19110625",",,6","","","","","","","0",",,6,30,+","9.7",",,6,25,","","","","","","","50.7",",,,6","0",",,,6","","","","","",""
"USC00112614","1911-07","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","6",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19110724",",,6","","","","","","","","","8.6",",,6,24,","","","","","","","15.7",",,,6","","","","","","","",""
"USC00112614","1911-08","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","9",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","19110808",",,6","","","","","","","","","32.3",",,6,08,","","","","","","","91.9",",,,6","","","","","","","",""
"USC00112614","1911-09","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","11",",6","8",",6","3",",6","","","0",",6","","","","","","","","","","","","","","","","","19110930","+,,6","","","19110904",",,6","","","","","","","0",",,6,30,+","83.1",",,6,04,","","","","","","","182.0",",,,6","0",",,,6","","","","","",""
"USC00112614","1911-10","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","10",",6","7",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","19111031","+,,6","","","19111002",",,6","","","","","","","0",",,6,31,+","30.5",",,6,02,","","","","","","","75.9",",,,6","0",",,,6","","","","","",""
"USC00112614","1911-11","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","7",",6","6",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19111129",",,6","","","19111112",",,6","","","","","","","8",",,6,29,","24.1",",,6,12,","","","","","","","83.1",",,,6","8",",,,6","","","","","",""
"USC00112614","1911-12","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","5",",6","4",",6","0",",6","","","1",",6","","","","","","","","","","","","","","","","","19111216",",,6","","","19111216",",,6","","","","","","","25",",,6,16,","9.7",",,6,16,","","","","","","","30.8",",,,6","25",",,,6","","","","","",""
"USC00112614","1912-01","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","6",",6","4",",6","0",",6","","","4",",6","","","","","","","","","","","","","","","","","19120112",",,6","","","19120112",",,6","","","","","","","152",",,6,12,","15.2",",,6,12,","","","","","","","32.7",",,,6","335",",,,6","","","","","",""
"USC00112614","1912-02","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","7",",6","7",",6","1",",6","","","4",",6","","","","","","","","","","","","","","","","","19120221",",,6","","","19120221",",,6","","","","","","","305",",,6,21,","29.7",",,6,21,","","","","","","","66.3",",,,6","572",",,,6","","","","","",""
"USC00112614","1912-03","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","13",",6","10",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","19120324",",,6","","","","","","","","","27.9",",,6,24,","","","","","","","138.5",",,,6","","","","","","","",""
"USC00112614","1912-04","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","17",",6","10",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","19120430","+,,6","","","19120426",",,6","","","","","","","0",",,6,30,+","50.8",",,6,26,","","","","","","","198.1",",,,6","0",",,,6","","","","","",""
"USC00112614","1912-05","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","8",",6","4",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","19120511",",,6","","","","","","","","","59.7",",,6,11,","","","","","","","126.9",",,,6","","","","","","","",""
"USC00112614","1912-06","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","9",",6","6",",6","3",",6","","","0",",6","","","","","","","","","","","","","","","","","19120630","+,,6","","","19120617",",,6","","","","","","","0",",,6,30,+","76.2",",,6,17,","","","","","","","165.5",",,,6","0",",,,6","","","","","",""
"USC00112614","1912-07","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","10",",6","7",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","19120731","+,,6","","","19120714",",,6","","","","","","","0",",,6,31,+","38.4",",,6,14,","","","","","","","110.3",",,,6","0",",,,6","","","","","",""
"USC00112614","1912-08","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","13",",6","6",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19120831","+,,6","","","19120826",",,6","","","","","","","0",",,6,31,+","21.1",",,6,26,","","","","","","","71.8",",,,6","0",",,,6","","","","","",""
"USC00112614","1912-09","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","6",",6","4",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","19120930","+,,6","","","19120921",",,6","","","","","","","0",",,6,30,+","28.4",",,6,21,","","","","","","","59.1",",,,6","0",",,,6","","","","","",""
"USC00112614","1912-10","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","5",",6","4",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19121031","+,,6","","","19121022",",,6","","","","","","","0",",,6,31,+","19.3",",,6,22,","","","","","","","36.9",",,,6","0",",,,6","","","","","",""
"USC00112614","1912-11","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","4",",6","3",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","19121130","+,,6","","","19121101",",,6","","","","","","","0",",,6,30,+","35.8",",,6,01,","","","","","","","76.9",",,,6","0",",,,6","","","","","",""
"USC00112614","1912-12","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","5",",6","2",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19121227","+,,6","","","19121202",",,6","","","","","","","0",",T,6,27,+","7.9",",,6,02,","","","","","","","16.3",",,,6","0",",T,,6","","","","","",""
"USC00112614","1913-01","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","","","19130131","+,,6","","","","","","","","","","","0",",,6,31,+","","","","","","","","","","","0",",,,6","","","","","",""
"USC00112614","1913-02","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","9",",6","3",",6","0",",6","","","1",",6","","","","","","","","","","","","","","","","","19130203",",,6","","","19130203",",,6","","","","","","","89",",,6,03,","6.9",",,6,03,","","","","","","","23.7",",,,6","125",",,,6","","","","","",""
"USC00112614","1913-03","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","9",",6","8",",6","2",",6","","","2",",6","","","","","","","","","","","","","","","","","19130327",",,6","","","19130325",",,6","","","","","","","127",",,6,27,","75.7",",,6,25,","","","","","","","193.5",",,,6","170",",,,6","","","","","",""
"USC00112614","1913-04","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","","","19130430","+,,6","","","","","","","","","","","0",",,6,30,+","","","","","","","","","","","0",",,,6","","","","","",""
"USC00112614","1913-05","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","7",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19130526",",,6","","","","","","","","","18.5",",,6,26,","","","","","","","39.3",",,,6","","","","","","","",""
"USC00112614","1913-06","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","4",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19130623",",,6","","","","","","","","","22.6",",,6,23,","","","","","","","41.7",",,,6","","","","","","","",""
"USC00112614","1913-07","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","7",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","19130702",",,6","","","","","","","","","46.7",",,6,02,","","","","","","","91.9",",,,6","","","","","","","",""
"USC00112614","1913-08","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19130820",",,6","","","","","","","","","3.8",",,6,20,","","","","","","","5.9",",,,6","","","","","","","",""
"USC00112614","1913-09","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","10",",6","9",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","19130930","+,,6","","","19130912",",,6","","","","","","","0",",,6,30,+","54.6",",,6,12,","","","","","","","126.0",",,,6","0",",,,6","","","","","",""
"USC00112614","1913-10","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","13",",6","9",",6","2",",6","","","0",",6","","","","","","","","","","","","","","","","","19131029","+,,6","","","19131022",",,6","","","","","","","0",",T,6,29,+","38.4",",,6,22,","","","","","","","128.0",",,,6","0",",T,,6","","","","","",""
"USC00112614","1913-11","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","9",",6","8",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","19131130","+,,6","","","19131114",",,6","","","","","","","0",",,6,30,+","33.0",",,6,14,","","","","","","","89.0",",,,6","0",",,,6","","","","","",""
"USC00112614","1913-12","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","10",",6","5",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19131225",",,6","","","19131225",",,6","","","","","","","20",",,6,25,","13.7",",,6,25,","","","","","","","34.4",",,,6","33",",,,6","","","","","",""
"USC00112614","1914-01","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","10",",6","5",",6","0",",6","","","1",",6","","","","","","","","","","","","","","","","","19140131",",,6","","","19140124",",,6","","","","","","","76",",,6,31,","20.1",",,6,24,","","","","","","","65.9",",,,6","114",",,,6","","","","","",""
"USC00112614","1914-02","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","10",",6","7",",6","2",",6","","","5",",6","","","","","","","","","","","","","","","","","19140213",",,6","","","19140218",",,6","","","","","","","356",",,6,13,","33.0",",,6,18,","","","","","","","108.7",",,,6","701",",,,6","","","","","",""
"USC00112614","1914-03","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","11",",6","4",",6","0",",6","","","2",",6","","","","","","","","","","","","","","","","","19140319","+,,6","","","19140327",",,6","","","","","","","51",",,6,19,+","8.1",",,6,27,","","","","","","","34.2",",,,6","133",",,,6","","","","","",""
"USC00112614","1914-04","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","8",",6","6",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","","","19140430","+,,6","","","19140428",",,6","","","","","","","0",",,6,30,+","19.8",",,6,28,","","","","","","","54.7",",,,6","0",",,,6","","","","","",""
"USC00112614","1914-05","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19140506",",,6","","","","","","","","","11.7",",,6,06,","","","","","","","24.3",",,,6","","","","","","","",""
"USC00112614","1914-06","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19140612",",,6","","","","","","","","","1.8",",,6,12,","","","","","","","2.3",",,,6","","","","","","","",""
"USC00112614","1914-07","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","5",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","19140728",",,6","","","","","","","","","27.2",",,6,28,","","","","","","","51.2",",,,6","","","","","","","",""
"USC00112614","1914-08","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","10",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","19140825",",,6","","","","","","","","","40.6",",,6,25,","","","","","","","132.4",",,,6","","","","","","","",""
"USC00112614","1914-09","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","8",",6","6",",6","3",",6","","","","","","","","","","","","","","","","","","","","","","","","","19140915",",,6","","","","","","","","","45.7",",,6,15,","","","","","","","149.1",",,,6","","","","","","","",""
"USC00112614","1914-10","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","","","","","","","","","0",",6","","","","","","","","","","","","","","","","","19141031","+,,6","","","","","","","","","","","0",",,6,31,+","","","","","","","","","","","0",",,,6","","","","","",""
"USC00112614","1914-11","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","3",",6","2",",6","1",",6","","","0",",6","","","","","","","","","","","","","","","","","19141130","+,,6","","","19141108",",,6","","","","","","","0",",,6,30,+","26.7",",,6,08,","","","","","","","32.1",",,,6","0",",,,6","","","","","",""
"USC00112614","1914-12","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","","","13","1,6","7","1,6","0","1,6","","","0",",6","","","","","","","","","","","","","","","","","19141209",",,6","","","19141229","+,1,6","","","","","","","10",",,6,09,","8.6","1,,6,29,+","","","","","","","50.8","1,,,6","10",",,,6","","","","","",""
"USC00112614","1942-05","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","69.1",",6","9",",6","6",",6","2",",6","","","0",",6","0",",6","0",",6","0",",6","27",",6","4",",6","","","19420516",",,6","","","19420531","+,,6","","","19420506",",,6","19420531","+,,6","4.4",",6,16,","","","0",",,6,31,+","31.5",",,6,06,","34.4",",6,31,+","","","48.1",",6","113.7",",,,6","0",",,,6","19.01",",6","25.46",",,,6","12.56",",,,6"
"USC00112614","1942-06","38.56667","-90.18333","125.0","EAST ST LOUIS PARKS COLLEGE, IL US","","","185.5",",6","17",",6","14",",6","3",",6","","","0",",6","0",",6","0",",6","0",",6","28",",6","12",",6","","","19420614",",,6","","","19420630","+,,6","","","19420626",",,6","19420629",",,6","8.9",",6,14,","","","0",",,6,30,+","56.4",",,6,26,","36.1",",6,29,","","","7.4",",6","240.5",",,,6","0",",,,6","24.27",",6","29.99",",,,6","18.55",",,,6"
