"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00134101","1893-01","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0","1,6","8",",6","5",",6","0",",6","","","4",",6","16",",6","31",",6","25","1,6","0","1,6","0","1,6","","","18930117",",,6","","","18930111","+,,6","","","18930111","+,,6","18930124",",1,6","-28.9",",6,17,","","","64",",,6,11,+","6.4",",,6,11,+","5.6","1,6,24,","","","","","914.2","1,6","","","","","30.1",",,,6","245",",,,6","-12.08","1,6","-6.36","1,,,6","-17.79",",,,6","",""
"USC00134101","1893-02","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0",",6","5","1,6","4","1,6","0","1,6","","","1",",6","9",",6","28",",6","15",",6","0",",6","0",",6","","","18930208",",,6","","","18930206",",,6","","","18930227",",1,6","18930228",",,6","-27.8",",6,08,","","","102",",,6,06,","15.2","1,,6,27,","5.0",",6,28,","","","","","723.1",",6","","","","","44.5","1,,,6","135",",,,6","-7.49",",6","-1.08",",,,6","-13.91",",,,6","",""
"USC00134101","1893-03","41.6093","-91.5051","195.1","IOWA CITY, IA US","0.0","6","0.0","1,6","8",",6","4",",6","1",",6","","","1",",6","0","1,6","25","1,6","4","1,6","1","1,6","0","1,6","","","18930304",",1,6","","","18930317",",,6","","","18930308",",,6","18930331",",1,6","-15.6","1,6,04,","","","51",",,6,17,","31.8",",,6,08,","22.2","1,6,31,","","","","","506.3","1,6","","","","","71.8",",,,6","64",",,,6","1.46","1,6","7.34","1,,,6","-4.43","1,,,6","",""
"USC00134101","1893-04","41.6093","-91.5051","195.1","IOWA CITY, IA US","3.3","6","3.3",",6","12",",6","11",",6","0",",6","","","2",",6","0",",6","11",",6","0",",6","5",",6","0",",6","","","18930409",",,6","","","18930420",",,6","","","18930420",",,6","18930407",",,6","-4.4",",6,09,","","","38",",,6,20,","24.9",",,6,20,","31.1",",6,07,","","","","","283.5",",6","","","","","111.0",",,,6","63",",,,6","9.00",",6","15.42",",,,6","2.57",",,,6","",""
"USC00134101","1893-05","41.6093","-91.5051","195.1","IOWA CITY, IA US","12.5","6","9.2",",6","11",",6","6",",6","0",",6","","","","","0",",6","2",",6","0",",6","17",",6","0",",6","","","18930503",",,6","","","","","","","18930505",",,6","18930522","+,,6","-0.6",",6,03,","","","","","11.7",",,6,05,","29.4",",6,22,+","","","","","139.2",",6","","","","","45.6",",,,6","","","14.14",",6","21.34",",,,6","6.93",",,,6","",""
"USC00134101","1893-06","41.6093","-91.5051","195.1","IOWA CITY, IA US","126.6","6","114.1",",6","9",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","29",",6","6",",6","","","18930607",",,6","","","","","","","18930622",",,6","18930612",",,6","7.2",",6,07,","","","","","37.3",",,6,22,","37.2",",6,12,","","","","","6.7",",6","","","","","76.4",",,,6","","","21.92",",6","28.28",",,,6","15.55",",,,6","",""
"USC00134101","1893-07","41.6093","-91.5051","195.1","IOWA CITY, IA US","304.8","6","178.2",",6","7",",6","6",",6","2",",6","","","","","0",",6","0",",6","0",",6","31",",6","8",",6","","","18930727","+,,6","","","","","","","18930706",",,6","18930724","+,,6","12.8",",6,27,+","","","","","41.4",",,6,06,","35.0",",6,24,+","","","0.0","6","0.0",",6","","","","","90.4",",,,6","","","24.08",",6","30.72",",,,6","17.45",",,,6","",""
"USC00134101","1893-08","41.6093","-91.5051","195.1","IOWA CITY, IA US","402.2","6","97.4",",6","2",",6","1",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","4",",6","","","18930812",",,6","","","","","","","18930816",",,6","18930810","+,,6","7.2",",6,12,","","","","","40.1",",,6,16,","34.4",",6,10,+","","","6.1","6","6.1",",6","","","","","41.6",",,,6","","","21.28",",6","28.48",",,,6","14.08",",,,6","",""
"USC00134101","1893-09","41.6093","-91.5051","195.1","IOWA CITY, IA US","467.9","6","65.7","2,6","6",",6","4",",6","1",",6","","","","","0","1,6","1","1,6","0","1,6","23","1,6","3","1,6","","","18930926",",1,6","","","","","","","18930930",",,6","18930907",",1,6","-2.2","1,6,26,","","","","","53.3",",,6,30,","35.0","1,6,07,","","","66.3","6","60.2","1,6","","","","","77.8",",,,6","","","18.54","2,6","26.33","1,,,6","10.75","1,,,6","",""
"USC00134101","1893-10","41.6093","-91.5051","195.1","IOWA CITY, IA US","477.9","6","10.0",",6","5",",6","4",",6","0",",6","","","","","0",",6","9",",6","0",",6","15",",6","0",",6","","","18931030",",,6","","","","","","","18931012",",,6","18931010",",,6","-7.2",",6,30,","","","","","23.6",",,6,12,","28.3",",6,10,","","","259.9","6","193.6",",6","","","","","50.3",",,,6","","","12.41",",6","19.75",",,,6","5.06",",,,6","",""
