"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00144588","1891-12","39.3255","-94.9188","265.2","LEAVENWORTH, KS US","","","","","7",",6","4",",6","0",",6","","","","","0","5,6","16","5,6","0","4,6","0","4,6","0","4,6","","","18911226",",5,6","","","","","","","18911203",",,6","18911231",",4,6","-12.2","5,6,26,","","","","","13.7",",,6,03,","17.8","4,6,31,","","","","","43.4",",,,6","","","4.11","9,6","10.14","4,,,6","-1.92","5,,,6"
"USC00144588","1892-01","39.3255","-94.9188","265.2","LEAVENWORTH, KS US","0.0","6","0.0","3,6","6",",6","5",",6","1",",6","","","","","5","1,6","25","1,6","11","2,6","0","2,6","0","2,6","","","18920119",",1,6","","","","","","","18920101",",,6","18920131","+,2,6","-28.9","1,6,19,","","","","","25.4",",,6,01,","13.9","2,6,31,+","","","635.7","2,6","48.5",",,,6","","","-4.37","3,6","0.83","2,,,6","-9.57","1,,,6"
"USC00144588","1892-02","39.3255","-94.9188","265.2","LEAVENWORTH, KS US","","","","","9",",6","6",",6","1",",6","","","","","0","5,6","16","5,6","1","5,6","0","5,6","0","5,6","","","18920215",",5,6","","","","","","","18920204",",,6","18920213",",5,6","-11.1","5,6,15,","","","","","25.7",",,6,04,","16.1","5,6,13,","","","","","92.7",",,,6","","","2.65","0,6","7.57","5,,,6","-2.26","5,,,6"
"USC00144588","1892-03","39.3255","-94.9188","265.2","LEAVENWORTH, KS US","","","0.0","4,6","14",",6","10",",6","0",",6","","","","","0","2,6","19","2,6","5","2,6","1","2,6","0","2,6","","","18920318",",2,6","","","","","","","18920306",",,6","18920331",",2,6","-11.1","2,6,18,","","","","","21.1",",,6,06,","25.6","2,6,31,","","","405.3","2,6","104.0",",,,6","","","3.26","4,6","7.93","2,,,6","-1.40","2,,,6"
"USC00144588","1892-04","39.3255","-94.9188","265.2","LEAVENWORTH, KS US","","","","","13",",6","10",",6","0",",6","","","","","0","3,6","2","3,6","0","3,6","8","3,6","0","3,6","","","18920409",",3,6","","","","","","","18920413",",,6","18920426","+,3,6","-1.7","3,6,09,","","","","","19.3",",,6,13,","25.6","3,6,26,+","","","","","124.4",",,,6","","","10.85","6,6","15.86","3,,,6","5.84","3,,,6"
"USC00144588","1892-05","39.3255","-94.9188","265.2","LEAVENWORTH, KS US","","","15.6","1,6","20",",6","10",",6","3",",6","","","","","0","1,6","0","1,6","0",",6","16",",6","0",",6","","","18920521",",1,6","","","","","","","18920504",",,6","18920524",",,6","3.3","1,6,21,","","","","","48.3",",,6,04,","30.6",",6,24,","","","112.0",",6","225.2",",,,6","","","15.06","1,6","19.58",",,,6","10.54","1,,,6"
"USC00144588","1892-06","39.3255","-94.9188","265.2","LEAVENWORTH, KS US","","","168.7","1,6","5",",6","3",",6","0",",6","","","","","0",",6","0",",6","0","1,6","27","1,6","12","1,6","","","18920602",",,6","","","","","","","18920626","+,,6","18920622",",1,6","8.3",",6,02,","","","","","24.4",",,6,26,+","34.4","1,6,22,","","","8.6","1,6","64.8",",,,6","","","23.70","1,6","29.23","1,,,6","18.17",",,,6"
"USC00144588","1892-07","39.3255","-94.9188","265.2","LEAVENWORTH, KS US","","","192.3",",6","10",",6","5",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","11",",6","","","18920701",",,6","","","","","","","18920702",",,6","18920720",",,6","12.2",",6,01,","","","","","27.9",",,6,02,","36.7",",6,20,","0.0","6","0.0",",6","86.9",",,,6","","","24.54",",6","29.84",",,,6","19.23",",,,6"
"USC00144588","1892-08","39.3255","-94.9188","265.2","LEAVENWORTH, KS US","","","194.2",",6","8",",6","4",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","10",",6","","","18920830",",,6","","","","","","","18920829",",,6","18920808","+,,6","10.6",",6,30,","","","","","53.8",",,6,29,","36.7",",6,08,+","1.1","6","1.1",",6","90.1",",,,6","","","24.56",",6","30.57",",,,6","18.55",",,,6"
"USC00144588","1892-09","39.3255","-94.9188","265.2","LEAVENWORTH, KS US","","","90.9",",6","4",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","27",",6","2",",6","","","18920914",",,6","","","","","","","18920911",",,6","18920922",",,6","5.6",",6,14,","","","","","12.2",",,6,11,","32.8",",6,22,","14.9","6","13.8",",6","31.3",",,,6","","","20.91",",6","27.00",",,,6","14.81",",,,6"
