"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HN03","HN03_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","HX03","HX03_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LN03","LN03_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","LX03","LX03_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MN03","MN03_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MX03","MX03_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00228374","1891-09","33.4691","-88.7822","56.4","STATE UNIVERSITY, MS US","","","166.9",",6","3",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","10",",6","","","18910904","+,,6","","","","","","","18910903",",,6","18910923","+,,6","11.7",",6,04,+","","","","","7.6",",,6,03,","34.4",",6,23,+","","","","","","","","","","","1.1",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8",",,,6","","","23.86",",6","29.83",",,,6","17.89",",,,6","",""
"USC00228374","1891-10","33.4691","-88.7822","56.4","STATE UNIVERSITY, MS US","","","35.6",",6","0",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","18",",6","0",",6","","","18911028","+,,6","","","","","","","18911016","+,,6","18911004",",,6","3.9",",6,28,+","","","","","0.0",",T,6,16,+","31.1",",6,04,","","","","","","","","","","","81.2",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",T,,6","","","16.86",",6","22.97",",,,6","10.75",",,,6","",""
"USC00228374","1891-11","33.4691","-88.7822","56.4","STATE UNIVERSITY, MS US","","","4.7","2,6","8",",6","7",",6","2",",6","","","","","0","1,6","8","1,6","0","1,6","12","1,6","0","1,6","","","18911130",",1,6","","","","","","","18911120",",,6","18911105",",1,6","-7.2","1,6,30,","","","","","113.0",",,6,20,","26.7","1,6,05,","","","","","","","","","","","210.1","1,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","196.6",",,,6","","","11.13","2,6","17.23","1,,,6","5.02","1,,,6","",""
"USC00228374","1892-01","33.4691","-88.7822","56.4","STATE UNIVERSITY, MS US","0.0","6","0.0","2,6","","","","","","","","","1",",6","0","1,6","18","1,6","3","1,6","0","1,6","0","1,6","","","18920120",",1,6","","","18920119",",,6","","","","","18920129",",1,6","-10.0","1,6,20,","","","25",",,6,19,","","","20.0","1,6,29,","","","","","","","","","","","413.2","1,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25",",,,6","3.93","2,6","8.98","1,,,6","-1.12","1,,,6","",""
"USC00228374","1892-02","33.4691","-88.7822","56.4","STATE UNIVERSITY, MS US","0.0","6","0.0",",6","","","","","","","","","","","0",",6","1",",6","0",",6","2",",6","0",",6","","","18920212",",,6","","","","","","","","","18920214",",,6","0.0",",6,12,","","","","","","","21.7",",6,14,","","","","","","","","","","","210.3",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.08",",6","15.90",",,,6","6.27",",,,6","",""
"USC00228374","1892-03","33.4691","-88.7822","56.4","STATE UNIVERSITY, MS US","0.8","6","0.8",",6","9",",6","9",",6","2",",6","","","","","0",",6","8",",6","1",",6","5",",6","0",",6","","","18920319",",,6","","","","","","","18920322",",,6","18920331",",,6","-6.7",",6,19,","","","","","33.5",",,6,22,","25.6",",6,31,","","","","","","","","","","","251.6",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","139.5",",,,6","","","10.24",",6","15.33",",,,6","5.16",",,,6","",""
"USC00228374","1892-08","33.4691","-88.7822","56.4","STATE UNIVERSITY, MS US","","","234.5",",6","15",",6","12",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","4",",6","","","18920831","+,,6","","","","","","","18920812",",,6","18920806","+,,6","18.3",",6,31,+","","","","","62.0",",,6,12,","33.3",",6,06,+","","","","","","","","","","","0.0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149.4",",,,6","","","25.90",",6","30.36",",,,6","21.44",",,,6","",""
"USC00228374","1892-09","33.4691","-88.7822","56.4","STATE UNIVERSITY, MS US","","","108.7",",6","4",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","0",",6","","","18920927",",,6","","","","","","","18920905",",,6","18920925",",,6","11.7",",6,27,","","","","","21.1",",,6,05,","30.6",",6,25,","","","","","","","","","","","0.5",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.3",",,,6","","","21.94",",6","27.10",",,,6","16.78",",,,6","",""
"USC00228374","1892-10","33.4691","-88.7822","56.4","STATE UNIVERSITY, MS US","","","71.0",",6","","","","","","","","","","","0",",6","0",",6","0",",6","24",",6","0",",6","","","18921026",",,6","","","","","","","","","18921022","+,,6","2.2",",6,26,","","","","","","","29.4",",6,22,+","","","","","","","","","","","57.7",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.76",",6","24.74",",,,6","12.78",",,,6","",""
"USC00228374","1892-11","33.4691","-88.7822","56.4","STATE UNIVERSITY, MS US","","","7.5",",6","10",",6","7",",6","0",",6","","","","","0",",6","2",",6","0",",6","7",",6","0",",6","","","18921124",",,6","","","","","","","18921108",",,6","18921102",",,6","-2.8",",6,24,","","","","","24.9",",,6,08,","25.0",",6,02,","","","","","","","","","","","212.4",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","92.8",",,,6","","","11.50",",6","16.58",",,,6","6.42",",,,6","",""
