STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HN01,HN01_ATTRIBUTES,HN02,HN02_ATTRIBUTES,HN03,HN03_ATTRIBUTES,HN04,HN04_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,HX01,HX01_ATTRIBUTES,HX02,HX02_ATTRIBUTES,HX03,HX03_ATTRIBUTES,HX04,HX04_ATTRIBUTES,LN01,LN01_ATTRIBUTES,LN02,LN02_ATTRIBUTES,LN03,LN03_ATTRIBUTES,LN04,LN04_ATTRIBUTES,LX01,LX01_ATTRIBUTES,LX02,LX02_ATTRIBUTES,LX03,LX03_ATTRIBUTES,LX04,LX04_ATTRIBUTES,MN01,MN01_ATTRIBUTES,MN02,MN02_ATTRIBUTES,MN03,MN03_ATTRIBUTES,MN04,MN04_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MX01,MX01_ATTRIBUTES,MX02,MX02_ATTRIBUTES,MX03,MX03_ATTRIBUTES,MX04,MX04_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES
USC00257830,1908-12,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,4,",6",3,",6",0,",6",,,1,",6",,,,,,,,,,,1,,,,,,19081216,",,6",,,19081217,"+,,6",,,,,,,76,",,6,16,",7.6,",,6,17,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,",,,6",79,",,,6",,,,,,,,
USC00257830,1909-01,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,0,",6",0,",6",0,",6",,,0,",6",,,,,,,,,,,,,,,,,19090128,"+,,6",,,19090128,"+,,6",,,,,,,0,",T,6,28,+",0,",T,6,28,+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,",T,,6",0,",T,,6",,,,,,,,
USC00257830,1909-02,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,2,",6",2,",6",1,",6",,,2,",6",,,,,,,,,,,,,,,,,19090222,",,6",,,19090222,",,6",,,,,,,254,",,6,22,",25.4,",,6,22,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6,",,,6",406,",,,6",,,,,,,,
USC00257830,1909-03,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,4,",6",4,",6",0,",6",,,1,",6",,,,,,,,,,,,,,,,,19090327,",,6",,,19090324,",,6",,,,,,,25,",,6,27,",22.9,",,6,24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7,",,,6",35,",,,6",,,,,,,,
USC00257830,1909-04,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,1,",6",1,",6",0,",6",,,1,",6",,,,,,,,,,,,,,,,,19090405,",,6",,,19090405,",,6",,,,,,,152,",,6,05,",10.2,",,6,05,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2,",,,6",152,",,,6",,,,,,,,
USC00257830,1909-05,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,10,",6",5,",6",0,",6",,,,,,,,,,,,,,,,,,,,,,,,,19090524,",,6",,,,,,,,,22.9,",,6,24,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1,",,,6",,,,,,,,,,
USC00257830,1909-06,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,13,",6",10,",6",1,",6",,,,,,,,,,,,,,,,,,,,,,,,,19090610,",,6",,,,,,,,,76.2,",,6,10,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168.5,",,,6",,,,,,,,,,
USC00257830,1909-07,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,7,",6",4,",6",0,",6",,,,,,,,,,,,,,,,,,,,,,,,,19090709,",,6",,,,,,,,,14,",,6,09,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8,",,,6",,,,,,,,,,
USC00257830,1909-08,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,6,",6",2,",6",1,",6",,,,,,,,,,,,,,,,,,,,,,,,,19090808,",,6",,,,,,,,,28.4,",,6,08,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,",,,6",,,,,,,,,,
USC00257830,1909-09,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,5,",6",4,",6",2,",6",,,,,,,,,,,,,,,,,,,,,,,,,19090901,",,6",,,,,,,,,38.1,",,6,01,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.6,",,,6",,,,,,,,,,
USC00257830,1909-10,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,2,",6",1,",6",0,",6",,,,,,,,,,,,,,,,,,,,,,,,,19091007,",,6",,,,,,,,,8.1,",,6,07,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.6,",,,6",,,,,,,,,,
USC00257830,1909-11,41.22924,-103.02142,1321.9,"SIDNEY 6 NNW, NE US",,,,,7,",6",1,",6",0,",6",,,1,",6",,,,,,,,,,,,,,,,,19091112,",,6",,,19091112,",,6",,,,,,,102,",,6,12,",5.1,",,6,12,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1,",,,6",141,",,,6",,,,,,,,
