"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00409219","1891-08","36.39244","-89.03168","97.8","UNION CITY, TN US","","","","","5",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","18910818",",,6","","","","","","","","","21.8",",,6,18,","","","","","","","","","","","","","","","","","","","49.6",",,,6","","","","","","","",""
"USC00409219","1891-09","36.39244","-89.03168","97.8","UNION CITY, TN US","","","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","18910903",",,6","","","","","","","","","7.4",",,6,03,","","","","","","","","","","","","","","","","","","","13.8",",,,6","","","","","","","",""
"USC00409219","1891-11","36.39244","-89.03168","97.8","UNION CITY, TN US","","","","","6",",6","5",",6","4",",6","","","","","","","","","","","","","","","","","","","","","","","","","18911116",",,6","","","","","","","","","68.6",",,6,16,","","","","","","","","","","","","","","","","","","","193.9",",,,6","","","","","","","",""
"USC00409219","1895-12","36.39244","-89.03168","97.8","UNION CITY, TN US","","","0.0",",6","16",",6","9",",6","1",",6","","","","","0",",6","19",",6","2",",6","0",",6","0",",6","","","18951206",",,6","","","","","","","18951201",",,6","18951223",",,6","-11.1",",6,06,","","","","","44.5",",,6,01,","20.0",",6,23,","","","","","414.9",",6","","","","","","","","","","","126.7",",,,6","","","4.95",",6","9.74",",,,6","0.16",",,,6"
"USC00409219","1896-01","36.39244","-89.03168","97.8","UNION CITY, TN US","0.0","6","0.0",",6","10",",6","6",",6","0",",6","","","0",",6","0",",6","17",",6","1",",6","0",",6","0",",6","2","","18960104",",,6","","","18960116","+,,6","","","18960131",",,6","18960131","+,,6","-12.8",",6,04,","","","0",",T,6,16,+","11.2",",,6,31,","16.7",",6,31,+","","","","","461.7",",6","","","","","","","","","","","48.7",",,,6","0",",T,,6","3.44",",6","7.55",",,,6","-0.68",",,,6"
"USC00409219","1896-02","36.39244","-89.03168","97.8","UNION CITY, TN US","0.0","6","0.0",",6","8",",6","6",",6","1",",6","","","1",",6","0",",6","14",",6","1",",6","2",",6","0",",6","","","18960221",",,6","","","18960208",",,6","","","18960213",",,6","18960227","+,,6","-10.6",",6,21,","","","51",",,6,08,","27.2",",,6,13,","21.1",",6,27,+","","","","","386.5",",6","","","","","","","","","","","58.4",",,,6","54",",,,6","5.01",",6","10.11",",,,6","-0.10",",,,6"
"USC00409219","1896-03","36.39244","-89.03168","97.8","UNION CITY, TN US","0.0","6","0.0","2,6","12",",6","11",",6","1",",6","","","1",",6","0","1,6","15","1,6","0","1,6","2","1,6","0","1,6","","","18960313",",1,6","","","18960319",",,6","","","18960331",",,6","18960331","+,1,6","-6.1","1,6,13,","","","51",",,6,19,","80.8",",,6,31,","21.7","1,6,31,+","","","","","337.4","1,6","","","","","","","","","","","179.1",",,,6","51",",,,6","6.83","2,6","11.62","1,,,6","2.03","1,,,6"
"USC00409219","1896-04","36.39244","-89.03168","97.8","UNION CITY, TN US","60.0","6","60.0","4,6","9",",6","7",",6","0",",6","","","","","0","3,6","1","3,6","0","4,6","19","4,6","0","4,6","","","18960403",",3,6","","","","","","","18960413",",,6","18960426","+,4,6","-0.6","3,6,03,","","","","","19.8",",,6,13,","30.0","4,6,26,+","","","","","57.0","4,6","","","","","","","","","","","70.0",",,,6","","","18.52","4,6","24.50","4,,,6","12.53","3,,,6"
"USC00409219","1896-05","36.39244","-89.03168","97.8","UNION CITY, TN US","207.2","6","147.2",",6","13",",6","10",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","8",",6","","","18960503",",,6","","","","","","","18960520",",,6","18960525","+,,6","10.6",",6,03,","","","","","61.0",",,6,20,","33.3",",6,25,+","","","","","0.0",",6","","","","","","","","","","","174.1",",,,6","","","23.08",",6","29.60",",,,6","16.56",",,,6"
"USC00409219","1896-06","36.39244","-89.03168","97.8","UNION CITY, TN US","386.2","6","179.0",",6","10",",6","5",",6","3",",6","","","","","0",",6","0",",6","0",",6","30",",6","12",",6","","","18960611",",,6","","","","","","","18960601",",,6","18960625","+,,6","12.8",",6,11,","","","","","76.7",",,6,01,","33.9",",6,25,+","","","","","0.0",",6","","","","","","","","","","","192.0",",,,6","","","24.30",",6","30.21",",,,6","18.39",",,,6"
