"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00415410","1911-03","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","2",",0","0",",0","0",",0","","","0",",0","","","","","","","","","","","","","","","","","19110331","+,,0","","","19110325","+,,0","","","","","","","0",",,0,31,+","0.3",",,0,25,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1911-04","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","7",",0","3",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","","","19110430","+,,0","19110430","+,,0","2","","19110424",",,0","","","","","0",",,0,30,+","0",",,0,30,+","46.0",",,0,24,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60.0",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1911-05","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","4",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19110531","+,,0","19110531","+,,0","1","","19110514",",,0","","","","","0",",,0,31,+","0",",,0,31,+","10.4",",,0,14,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.4",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1911-06","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","4",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19110630","+,,0","19110630","+,,0","1","","19110611",",,0","","","","","0",",,0,30,+","0",",,0,30,+","2.5",",,0,11,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1911-07","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","9",",0","7",",0","3",",0","0",",0","0",",0","","","","","","","","","","","","","","","19110731","+,,0","19110731","+,,0","5","","19110720",",,0","","","","","0",",,0,31,+","0",",,0,31,+","51.3",",,0,20,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","171.5",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1911-08","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19110831","+,,0","19110831","+,,0","","","19110824",",,0","","","","","0",",,0,31,+","0",",,0,31,+","3.0",",,0,24,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1911-09","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","7",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","1","","","","19110930","+,,0","19110930","+,,0","1","","19110903",",,0","","","","","0",",,0,30,+","0",",,0,30,+","14.2",",,0,03,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.8",",,,0","0",",,,0","","","","","","","",""
"USC00415410","1911-10","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","5",",0","5",",0","0",",0","0","1,0","1",",0","","","","","","","","","","","","","","","19111031","+,1,0","19111021",",,0","","","19111021",",,0","","","","","0","1,,0,31,+","104",",,0,21,","10.4",",,0,21,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27.4",",,,0","104",",,,0","","","","","","","",""
"USC00415410","1911-11","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19111130","+,,0","19111102",",,0","","","19111102",",,0","","","","","0",",,0,30,+","3",",,0,02,","3.8",",,0,02,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6",",,,0","3",",,,0","","","","","","","",""
"USC00415410","1911-12","33.6897","-101.8219","989.1","LUBBOCK 9 N, TX US","","","","","9",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","19111231","+,,0","19111214","+,,0","1","","19111219",",,0","","","","","0",",,0,31,+","13",",,0,14,+","11.4",",,0,19,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.4",",,,0","36",",,,0","","","","","","","",""
