"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00003940","1951-01","32.31982","-90.07778","90.2","JACKSON INTERNATIONAL AIRPORT, MS US","","","","","","","","","","","","","","","","","","","","","1",",Z","1",",Z","","","","","","","","","","","","","","","","","19510131",",,Z","19510131",",,Z","","","","","","","","","25",",,Z,31,","46",",,Z,31,","","","","","","","","","","","","","","","","","","","61",",,,Z","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003940","1951-02","32.31982","-90.07778","90.2","JACKSON INTERNATIONAL AIRPORT, MS US","","","","","","","","","","","","","","","","","","","","","3",",Z","1",",Z","","","","","","","","","","","","","","","","","19510201",",,Z","19510201",",,Z","","","","","","","","","102",",,Z,01,","46",",,Z,01,","","","","","","","","","","","","","","","","","","","46",",,,Z","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003940","1951-03","32.31982","-90.07778","90.2","JACKSON INTERNATIONAL AIRPORT, MS US","","","","","","","","","","","","","","","","","","","","","0",",Z","0",",Z","","","","","","","","","","","","","","","","","19510331","+,,Z","19510318","+,,Z","","","","","","","","","0",",,Z,31,+","0",",T,Z,18,+","","","","","","","","","","","","","","","","","","","0",",T,,Z","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003940","1951-04","32.31982","-90.07778","90.2","JACKSON INTERNATIONAL AIRPORT, MS US","","","","","","","","","","","","","","","","","","","","","0",",Z","0",",Z","","","","","","","","","","","","","","","","","19510430","+,,Z","19510430","+,,Z","","","","","","","","","0",",,Z,30,+","0",",,Z,30,+","","","","","","","","","","","","","","","","","","","0",",,,Z","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003940","1951-05","32.31982","-90.07778","90.2","JACKSON INTERNATIONAL AIRPORT, MS US","","","","","","","","","","","","","","","","","","","","","0",",Z","0",",Z","","","","","","","","","","","","","","","","","19510531","+,,Z","19510531","+,,Z","","","","","","","","","0",",,Z,31,+","0",",,Z,31,+","","","","","","","","","","","","","","","","","","","0",",,,Z","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003940","1951-06","32.31982","-90.07778","90.2","JACKSON INTERNATIONAL AIRPORT, MS US","","","","","","","","","","","","","","","","","","","","","0",",Z","0",",Z","","","","","","","","","","","","","","","","","19510630","+,,Z","19510630","+,,Z","","","","","","","","","0",",,Z,30,+","0",",,Z,30,+","","","","","","","","","","","","","","","","","","","0",",,,Z","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003940","1951-07","32.31982","-90.07778","90.2","JACKSON INTERNATIONAL AIRPORT, MS US","","","","","","","","","","","","","","","","","","","","","0",",Z","0",",Z","","","","","","","","","","","","","","","","","19510731","+,,Z","19510731","+,,Z","","","","","","","","","0",",,Z,31,+","0",",,Z,31,+","","","","","","","","","","","","","","","","","","","0",",,,Z","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003940","1951-08","32.31982","-90.07778","90.2","JACKSON INTERNATIONAL AIRPORT, MS US","","","","","","","","","","","","","","","","","","","","","0",",Z","0",",Z","","","","","","","","","","","","","","","","","19510831","+,,Z","19510831","+,,Z","","","","","","","","","0",",,Z,31,+","0",",,Z,31,+","","","","","","","","","","","","","","","","","","","0",",,,Z","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003940","1951-09","32.31982","-90.07778","90.2","JACKSON INTERNATIONAL AIRPORT, MS US","","","","","","","","","","","","","","","","","","","","","0",",Z","0",",Z","","","","","","","","","","","","","","","","","19510930","+,,Z","19510930","+,,Z","","","","","","","","","0",",,Z,30,+","0",",,Z,30,+","","","","","","","","","","","","","","","","","","","0",",,,Z","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00003940","1951-10","32.31982","-90.07778","90.2","JACKSON INTERNATIONAL AIRPORT, MS US","","","","","","","","","","","","","","","","","","","","","0",",Z","0",",Z","","","","","","","","","","","","","","","","","19511031","+,,Z","19511031","+,,Z","","","","","","","","","0",",,Z,31,+","0",",,Z,31,+","","","","","","","","","","","","","","","","","","","0",",,,Z","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
