"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00012917","1947-10","29.95205","-94.02616","3.8","PORT ARTHUR SE TX REGIONAL AIRPORT, TX US","","","","","","","","","","","","","200.6",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","7","","","","19471002",",,0","19471031","+,,0","19471031","+,,0","4","","19471019",",,0","19471015",",,0","16.7",",0,02,","0",",,0,31,+","0",",,0,31,+","8.6",",,0,19,","32.2",",0,15,","","","0.0",",0","13.4",",,,0","","","","","","","","","0",",,,0","24.80",",0","29.71",",,,0","19.90",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012917","1947-11","29.95205","-94.02616","3.8","PORT ARTHUR SE TX REGIONAL AIRPORT, TX US","","","","","","","","","","","","","16.1",",0","13",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","1","","","","19471129","+,,0","19471130","+,,0","19471130","+,,0","3","","19471122",",,0","19471104",",,0","5.6",",0,29,+","0",",,0,30,+","0",",,0,30,+","39.1",",,0,22,","27.8",",0,04,","","","102.5",",0","110.4",",,,0","","","","","","","","","0",",,,0","15.45",",0","19.80",",,,0","11.11",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012917","1947-12","29.95205","-94.02616","3.8","PORT ARTHUR SE TX REGIONAL AIRPORT, TX US","","","","","","","","","","","","","7.7",",0","9",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","9",",0","0",",0","9","","","","19471226",",,0","19471231","+,,0","19471231","+,,0","1","","19471214",",,0","19471207","+,,0","1.1",",0,26,","0",",,0,31,+","0",",,0,31,+","26.9",",,0,14,","24.4",",0,07,+","","","178.6",",0","99.4",",,,0","","","","","","","","","0",",,,0","12.82",",0","16.97",",,,0","8.67",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012917","1948-01","29.95205","-94.02616","3.8","PORT ARTHUR SE TX REGIONAL AIRPORT, TX US","","","","","","","","","","","1.1","0","1.1",",0","13",",0","7",",0","1",",0","1",",0","1",",0","0",",0","11",",0","1",",0","5",",0","0",",0","15","","","","19480124",",,0","19480123",",,0","19480123",",,0","3","","19480127",",,0","19480109",",,0","-8.3",",0,24,","25",",,0,23,","36",",,0,23,","37.3",",,0,27,","23.9",",0,09,","","","332.1",",0","121.1",",,,0","","","","","","","","","36",",,,0","7.66",",0","12.11",",,,0","3.21",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012917","1948-02","29.95205","-94.02616","3.8","PORT ARTHUR SE TX REGIONAL AIRPORT, TX US","","","","","","","","","","","6.9","0","5.8",",X","12",",X","7",",X","2",",X","0",",X","0",",X","0",",X","3",",X","0",",X","12",",X","0",",X","22","","","","19480201",",,X","19480229","+,,X","19480229","+,,X","1","","19480223",",,X","19480228",",,X","-1.1",",X,01,","0",",,X,29,+","0",",,X,29,+","66.3",",,X,23,","27.2",",X,28,","","","174.7",",X","145.9",",,,X","","","","","","","","","0",",,,X","12.51",",X","17.41",",,,X","7.61",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00012917","1948-03","29.95205","-94.02616","3.8","PORT ARTHUR SE TX REGIONAL AIRPORT, TX US","","","","","","","","","","","53.7","0","46.8",",0","9",",0","3",",0","1",",0","0",",0","0",",0","0",",0","3",",0","0",",0","17",",0","0",",0","18","","","","19480312",",,0","19480331","+,,0","19480331","+,,0","3","","19480305",",,0","19480319",",,0","-2.2",",0,12,","0",",,0,31,+","0",",,0,31,+","26.7",",,0,05,","27.8",",0,19,","","","92.4",",0","46.4",",,,0","","","","","","","","","0",",,,0","16.86",",0","20.95",",,,0","12.77",",,,0","","","","","","","","","","","","","","","","","","","","","",""
"USW00012917","1948-04","29.95205","-94.02616","3.8","PORT ARTHUR SE TX REGIONAL AIRPORT, TX US","","","","","","","","","","","154.8","0","101.1",",X","5",",X","2",",X","2",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","1",",X","16","","","","19480403","+,,X","19480430","+,,X","19480430","+,,X","5","","19480425",",,X","19480428",",,X","8.3",",X,03,+","0",",,X,30,+","0",",,X,30,+","55.6",",,X,25,","32.2",",X,28,","","","8.6",",X","87.2",",,,X","","","","","","","","","0",",,,X","21.41",",X","27.00",",,,X","15.83",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00012917","1948-05","29.95205","-94.02616","3.8","PORT ARTHUR SE TX REGIONAL AIRPORT, TX US","","","","","","","","","","","338.7","0","183.9",",X","6",",X","5",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","4",",X","5","","","","19480507",",,X","19480531","+,,X","19480531","+,,X","7","","19480518",",,X","19480531",",,X","11.1",",X,07,","0",",,X,31,+","0",",,X,31,+","19.8",",,X,18,","33.3",",X,31,","","","0.0",",X","68.7",",,,X","","","","","","","","","0",",,,X","24.27",",X","29.61",",,,X","18.92",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00012917","1948-06","29.95205","-94.02616","3.8","PORT ARTHUR SE TX REGIONAL AIRPORT, TX US","","","","","","","","","","","603.1","0","264.4",",X","6",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","30",",X","20",",X","8","","","","19480602",",,X","19480630","+,,X","19480630","+,,X","6","","19480614",",,X","19480609",",,X","14.4",",X,02,","0",",,X,30,+","0",",,X,30,+","13.5",",,X,14,","35.6",",X,09,","","","0.0",",X","34.2",",,,X","","","","","","","","","0",",,,X","27.15",",X","32.68",",,,X","21.61",",,,X","","","","","","","","","","","","","","","","","","","","","",""
"USW00012917","1948-07","29.95205","-94.02616","3.8","PORT ARTHUR SE TX REGIONAL AIRPORT, TX US","","","","","","","","","","","917.0","0","313.9",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","28",",0","2","","","","19480702",",,0","19480731","+,,0","19480731","+,,0","15","","19480708",",,0","19480731",",,0","20.0",",0,02,","0",",,0,31,+","0",",,0,31,+","20.8",",,0,08,","37.8",",0,31,","0.0","0","0.0",",0","45.9",",,,0","","","","","","","","","0",",,,0","28.46",",0","34.30",",,,0","22.62",",,,0","","","","","","","","","","","","","","","","","","","","","",""
