"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00013957","1939-07","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","","","361.3",",0","9",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","19390720",",,0","19390731","+,,0","19390731","+,,0","11","","19390724",",,0","19390715",",,0","20.0",",0,20,","0",",,0,31,+","0",",,0,31,+","10.2",",,0,24,","40.0",",0,15,","0.0","0","0.0",",0","47.0",",,,0","","","","","","","","","0",",,,0","29.99",",0","36.73",",,,0","23.25",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1939-08","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","","","342.0",",0","5",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","19390824","+,,0","19390831","+,,0","19390831","+,,0","5","","19390817",",,0","19390817","+,,0","20.0",",0,24,+","0",",,0,31,+","0",",,0,31,+","37.6",",,0,17,","38.3",",0,17,+","0.0","0","0.0",",0","47.2",",,,0","","","","","","","","","0",",,,0","29.36",",0","35.93",",,,0","22.80",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1939-09","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","","","286.9",",0","3","1,0","1","1,0","0","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","28",",0","2","","","","19390930","+,,0","19390930","+,,0","19390930","+,,0","4","","19390929",",1,0","19390904",",,0","15.0",",0,30,+","0",",,0,30,+","0",",,0,30,+","2.5","1,,0,29,","40.0",",0,04,","0.0","0","0.0",",0","4.6","1,,,0","","","","","","","","","0",",,,0","27.90",",0","35.34",",,,0","20.45",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1939-10","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","","","99.7",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","27",",0","8",",0","7","","","","19391031",",,0","19391031","+,,0","19391031","+,,0","","","19391025",",,0","19391023",",,0","0.0",",0,31,","0",",,0,31,+","0",",,0,31,+","6.6",",,0,25,","34.4",",0,23,","47.9","0","47.9",",0","14.3",",,,0","","","","","","","","","0",",,,0","20.00",",0","27.78",",,,0","12.23",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1939-11","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","","","0.0","2,0","6",",0","6",",0","3",",0","0",",0","0",",0","0","1,0","3","1,0","0","1,0","8","1,0","0","1,0","11","","","","19391104",",1,0","19391130","+,,0","19391130","+,,0","","","19391111",",,0","19391108","+,1,0","-3.3","1,0,04,","0",",,0,30,+","0",",,0,30,+","56.6",",,0,11,","26.7","1,0,08,+","235.1","0","187.2","1,0","154.4",",,,0","","","","","","","","","0",",,,0","11.73","2,0","17.91","1,,,0","5.56","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1939-12","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","","","1.7",",0","6",",0","4",",0","1",",0","0",",0","0",",0","0",",0","5",",0","0",",0","11",",0","0",",0","8","","","","19391229",",,0","19391231","+,,0","19391231","+,,0","","","19391222",",,0","19391208",",,0","-2.2",",0,29,","0",",,0,31,+","0",",,0,31,+","85.9",",,0,22,","28.3",",0,08,","451.3","0","216.2",",0","123.9",",,,0","","","","","","","","","0",",,,0","11.41",",0","17.33",",,,0","5.50",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1940-01","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","0.0","0","0.0",",0","7",",0","6",",0","0",",0","0",",0","0",",0","0",",0","25",",0","4",",0","1",",0","0",",0","1","","","","19400119",",,0","19400131","+,,0","19400131","+,,0","1","","19400106",",,0","19400111",",,0","-15.0",",0,19,","0",",,0,31,+","0",",,0,31,+","15.5",",,0,06,","22.2",",0,11,","963.6","0","512.3",",0","59.8",",,,0","","","","","","","","","0",",,,0","1.81",",0","6.93",",,,0","-3.31",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1940-02","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","0.6","0","0.6",",0","12",",0","9",",0","1",",0","0",",0","0",",0","0",",0","7",",0","0",",0","5",",0","0",",0","4","","","","19400214",",,0","19400229","+,,0","19400229","+,,0","2","","19400209",",,0","19400228",",,0","-2.2",",0,14,","0",",,0,29,+","0",",,0,29,+","30.7",",,0,09,","28.9",",0,28,","1236.9","0","273.3",",0","112.0",",,,0","","","","","","","","","0",",,,0","8.93",",0","14.14",",,,0","3.71",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1940-03","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","16.6","0","16.0",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","19",",0","0",",0","4","","","","19400325",",,0","19400331","+,,0","19400331","+,,0","2","","19400329","+,,0","19400331",",,0","-2.2",",0,25,","0",",,0,31,+","0",",,0,31,+","17.3",",,0,29,+","30.0",",0,31,","1371.0","0","134.1",",0","45.9",",,,0","","","","","","","","","0",",,,0","14.52",",0","21.17",",,,0","7.88",",,,0","","","","","","","","","","","","","","","","","",""
"USW00013957","1940-04","32.4473","-93.8244","69.5","SHREVEPORT AIRPORT, LA US","","","","","","","","","","","68.1","0","51.5",",0","12",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","1","","","","19400413",",,0","19400430","+,,0","19400430","+,,0","8","","19400406",",,0","19400404",",,0","0.6",",0,13,","0",",,0,30,+","0",",,0,30,+","67.8",",,0,06,","31.1",",0,04,","1435.2","0","64.2",",0","207.4",",,,0","","","","","","","","","0",",,,0","17.91",",0","23.74",",,,0","12.07",",,,0","","","","","","","","","","","","","","","","","",""
