"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00013975","1904-05","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","","","52.5",",6","5",",6","5",",6","1",",6","","","","","0",",6","0",",6","0",",6","29",",6","3",",6","","","","","19040514",",,6","","","","","","","19040503",",,6","19040523",",,6","3.3",",6,14,","","","","","40.6",",,6,03,","33.3",",6,23,","","","24.5",",6","69.5",",,,6","","","","","","","","","19.23",",6","26.44",",,,6","12.03",",,,6","","","","","","","","","",""
"USW00013975","1904-06","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","","","137.8",",6","8",",6","6",",6","1",",6","","","","","0",",6","0",",6","0",",6","29",",6","9",",6","","","","","19040627","+,,6","","","","","","","19040609",",,6","19040624","+,,6","11.1",",6,27,+","","","","","64.8",",,6,09,","33.9",",6,24,+","","","2.3",",6","102.2",",,,6","","","","","","","","","22.85",",6","29.85",",,,6","15.85",",,,6","","","","","","","","","",""
"USW00013975","1904-07","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","","","231.5",",6","8",",6","7",",6","2",",6","","","","","0",",6","0",",6","0",",6","31",",6","17",",6","","","","","19040723",",,6","","","","","","","19040707",",,6","19040729","+,,6","12.8",",6,23,","","","","","51.6",",,6,07,","36.1",",6,29,+","0.0","6","0.0",",6","124.3",",,,6","","","","","","","","","25.80",",6","32.31",",,,6","19.29",",,,6","","","","","","","","","",""
"USW00013975","1904-08","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","","","205.8",",6","10",",6","5",",6","2",",6","","","","","0",",6","0",",6","0",",6","31",",6","15",",6","","","","","19040807",",,6","","","","","","","19040809",",,6","19040829","+,,6","13.3",",6,07,","","","","","74.4",",,6,09,","36.7",",6,29,+","0.0","6","0.0",",6","134.8",",,,6","","","","","","","","","24.97",",6","31.79",",,,6","18.15",",,,6","","","","","","","","","",""
"USW00013975","1904-09","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","","","147.3",",6","3",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","29",",6","13",",6","","","","","19040915","+,,6","","","","","","","19040928",",,6","19040926","+,,6","7.8",",6,15,+","","","","","12.4",",,6,28,","36.1",",6,26,+","3.1","6","3.1",",6","24.6",",,,6","","","","","","","","","23.14",",6","30.96",",,,6","15.32",",,,6","","","","","","","","","",""
"USW00013975","1904-10","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","","","46.2","1,6","2",",6","2",",6","0",",6","","","","","0",",6","7",",6","0","1,6","22","1,6","3","1,6","","","","","19041026",",,6","","","","","","","19041012",",,6","19041004","+,1,6","-4.4",",6,26,","","","","","10.7",",,6,12,","33.9","1,6,04,+","113.5","6","110.4","1,6","19.6",",,,6","","","","","","","","","16.18","1,6","24.05","1,,,6","8.32",",,,6","","","","","","","","","",""
"USW00013975","1904-11","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","","","0.0",",6","1",",6","1",",6","0",",6","","","0",",6","0",",6","23",",6","0",",6","10",",6","0",",6","","","","","19041112",",,6","","","19041111",",,6","","","19041111",",,6","19041128",",,6","-10.0",",6,12,","","","10",",,6,11,","12.7",",,6,11,","23.9",",6,28,","407.3","6","293.8",",6","12.7",",,,6","","","","","","","10",",,,6","8.54",",6","18.68",",,,6","-1.60",",,,6","","","","","","","","","",""
"USW00013975","1904-12","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","","","0.0",",6","3",",6","2",",6","0",",6","","","2",",6","0",",6","29",",6","4",",6","0",",6","0",",6","","","","","19041215",",,6","","","19041204",",,6","","","19041204",",,6","19041225",",,6","-16.7",",6,15,","","","114",",,6,04,","11.4",",,6,04,","20.6",",6,25,","932.9","6","525.6",",6","22.1",",,,6","","","","","","","224",",,,6","1.38",",6","9.23",",,,6","-6.48",",,,6","","","","","","","","","",""
"USW00013975","1905-01","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","0.0","6","0.0",",6","4",",6","4",",6","0",",6","","","3",",6","4",",6","31",",6","11",",6","0",",6","0",",6","","","","","19050115",",,6","","","19050110",",,6","","","19050110",",,6","19050103",",,6","-28.9",",6,15,","","","114",",,6,10,","11.4",",,6,10,","20.0",",6,03,","1595.2","6","662.3",",6","29.2",",,,6","","","","","","","228",",,,6","-3.03",",6","3.19",",,,6","-9.25",",,,6","","","","","","","","","",""
"USW00013975","1905-02","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","0.0","6","0.0","1,6","3",",6","1",",6","0",",6","","","1",",6","7",",6","25",",6","10","1,6","0","1,6","0","1,6","","","","","19050213",",,6","","","19050207",",,6","","","19050207",",,6","19050228",",1,6","-28.3",",6,13,","","","51",",,6,07,","5.1",",,6,07,","20.6","1,6,28,","2188.1","6","592.9","1,6","7.7",",,,6","","","","","","","77",",,,6","-3.68","1,6","2.89","1,,,6","-10.25",",,,6","","","","","","","","","",""
"USW00013975","1905-03","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","0.0","6","0.0",",6","6",",6","4",",6","1",",6","","","0",",6","0",",6","4",",6","0",",6","8",",6","0",",6","","","","","19050328",",,6","","","19050307",",,6","","","19050306",",,6","19050327",",,6","-2.8",",6,28,","","","13",",,6,07,","33.0",",,6,06,","30.0",",6,27,","2430.2","6","242.1",",6","77.2",",,,6","","","","","","","13",",,,6","10.52",",6","18.12",",,,6","2.93",",,,6","","","","","","","","","",""
"USW00013975","1905-04","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","4.5","6","4.5","1,6","7",",6","6",",6","0",",6","","","0",",6","0",",6","5",",6","0","1,6","10","1,6","0","1,6","","","","","19050405",",,6","","","19050415",",,6","","","19050423",",,6","19050427","+,1,6","-1.7",",6,05,","","","0",",T,6,15,","24.4",",,6,23,","31.7","1,6,27,+","2609.2","6","179.0","1,6","77.5",",,,6","","","","","","","0",",T,,6","12.45","1,6","19.44","1,,,6","5.45",",,,6","","","","","","","","","",""
"USW00013975","1905-05","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","44.6","6","40.1",",6","9",",6","5",",6","2",",6","","","","","0",",6","0",",6","0",",6","30",",6","1",",6","","","","","19050504",",,6","","","","","","","19050526",",,6","19050509",",,6","4.4",",6,04,","","","","","42.7",",,6,26,","32.2",",6,09,","2637.8","6","28.6",",6","118.7",",,,6","","","","","","","","","18.70",",6","26.22",",,,6","11.19",",,,6","","","","","","","","","",""
"USW00013975","1905-06","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","263.0","6","218.4",",6","3",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","17",",6","","","","","19050612",",,6","","","","","","","19050606",",,6","19050628",",,6","15.0",",6,12,","","","","","16.8",",,6,06,","36.7",",6,28,","2637.8","6","0.0",",6","33.6",",,,6","","","","","","","","","25.61",",6","32.14",",,,6","19.08",",,,6","","","","","","","","","",""
"USW00013975","1905-07","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","461.7","6","198.7",",6","7",",6","5",",6","3",",6","","","","","0",",6","0",",6","0",",6","31",",6","15",",6","","","","","19050709",",,6","","","","","","","19050721",",,6","19050727","+,,6","9.4",",6,09,","","","","","33.3",",,6,21,","36.1",",6,27,+","1.7","6","1.7",",6","104.4",",,,6","","","","","","","","","24.69",",6","32.17",",,,6","17.21",",,,6","","","","","","","","","",""
"USW00013975","1905-08","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","701.1","6","239.4",",6","5",",6","4",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","26",",6","","","","","19050811","+,,6","","","","","","","19050812",",,6","19050827",",,6","15.6",",6,11,+","","","","","29.5",",,6,12,","40.0",",6,27,","1.7","6","0.0",",6","75.1",",,,6","","","","","","","","","26.05",",6","34.04",",,,6","18.07",",,,6","","","","","","","","","",""
"USW00013975","1905-09","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","851.1","6","150.0",",6","8",",6","7",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","10",",6","","","","","19050919",",,6","","","","","","","19050916",",,6","19050916",",,6","5.6",",6,19,","","","","","21.3",",,6,16,","35.6",",6,16,","1.9","6","0.2",",6","93.7",",,,6","","","","","","","","","23.33",",6","31.28",",,,6","15.37",",,,6","","","","","","","","","",""
"USW00013975","1905-10","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","853.9","6","2.8",",6","2",",6","1",",6","0",",6","","","0",",6","0",",6","8",",6","0",",6","18",",6","0",",6","","","","","19051019",",,6","","","19051031",",,6","","","19051024",",,6","19051007",",,6","-6.7",",6,19,","","","0",",T,6,31,","7.1",",,6,24,","29.4",",6,07,","175.3","6","173.4",",6","8.4",",,,6","","","","","","","0",",T,,6","12.83",",6","22.11",",,,6","3.55",",,,6","","","","","","","","","",""
"USW00013975","1905-11","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","853.9","6","0.0",",6","3",",6","3",",6","1",",6","","","","","0",",6","22",",6","0",",6","7",",6","0",",6","","","","","19051130",",,6","","","","","","","19051123",",,6","19051125",",,6","-10.0",",6,30,","","","","","42.9",",,6,23,","23.3",",6,25,","491.4","6","316.1",",6","61.5",",,,6","","","","","","","","","7.80",",6","16.84",",,,6","-1.24",",,,6","","","","","","","","","",""
"USW00013975","1905-12","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","853.9","6","0.0",",6","1",",6","1",",6","0",",6","","","","","0",",6","31",",6","0",",6","0",",6","0",",6","","","","","19051225","+,,6","","","","","","","19051214",",,6","19051212",",,6","-10.0",",6,25,+","","","","","6.4",",,6,14,","13.3",",6,12,","994.9","6","503.5",",6","6.4",",,,6","","","","","","","","","2.09",",6","10.84",",,,6","-6.66",",,,6","","","","","","","","","",""
"USW00013975","1906-01","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","0.0","6","0.0",",6","2",",6","2",",6","0",",6","","","2",",6","0",",6","29",",6","0",",6","2",",6","0",",6","","","","","19060123",",,6","","","19060110","+,,6","","","19060101",",,6","19060119",",,6","-12.8",",6,23,","","","64",",,6,10,+","10.2",",,6,01,","25.6",",6,19,","1450.3","6","455.4",",6","16.6",",,,6","","","","","","","128",",,,6","3.64",",6","12.31",",,,6","-5.03",",,,6","","","","","","","","","",""
"USW00013975","1906-02","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","0.0","6","0.0",",6","1",",6","1",",6","0",",6","","","","","1",",6","22",",6","3",",6","5",",6","0",",6","","","","","19060205",",,6","","","","","","","19060212",",,6","19060222",",,6","-18.3",",6,05,","","","","","8.4",",,6,12,","24.4",",6,22,","1851.8","6","401.5",",6","8.4",",,,6","","","","","","","","","3.99",",6","12.67",",,,6","-4.68",",,,6","","","","","","","","","",""
"USW00013975","1906-03","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","0.0","6","0.0",",6","4",",6","4",",6","1",",6","","","0",",6","0",",6","23",",6","4",",6","3",",6","0",",6","","","","","19060320","+,,6","","","19060305",",,6","","","19060327",",,6","19060326",",,6","-10.6",",6,20,+","","","5",",,6,05,","30.5",",,6,27,","23.9",",6,26,","2312.3","6","460.5",",6","49.0",",,,6","","","","","","","5",",,,6","3.48",",6","10.73",",,,6","-3.77",",,,6","","","","","","","","","",""
"USW00013975","1906-04","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","15.3","6","15.3",",6","6",",6","6",",6","0",",6","","","","","0",",6","1",",6","0",",6","22",",6","0",",6","","","","","19060414",",,6","","","","","","","19060404",",,6","19060410",",,6","0.0",",6,14,","","","","","14.5",",,6,04,","31.7",",6,10,","2430.7","6","118.4",",6","50.0",",,,6","","","","","","","","","14.90",",6","23.61",",,,6","6.18",",,,6","","","","","","","","","",""
"USW00013975","1906-05","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","97.7","6","82.4",",6","6",",6","6",",6","0",",6","","","","","0",",6","0",",6","0",",6","29",",6","2",",6","","","","","19060509","+,,6","","","","","","","19060522",",,6","19060529",",,6","2.8",",6,09,+","","","","","18.5",",,6,22,","35.6",",6,29,","2464.4","6","33.7",",6","63.2",",,,6","","","","","","","","","19.90",",6","27.38",",,,6","12.42",",,,6","","","","","","","","","",""
"USW00013975","1906-06","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","229.8","6","132.1",",6","9",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","30",",6","12",",6","","","","","19060614",",,6","","","","","","","19060623",",,6","19060622","+,,6","8.9",",6,14,","","","","","26.4",",,6,23,","35.6",",6,22,+","2464.9","6","0.5",",6","87.0",",,,6","","","","","","","","","22.72",",6","29.56",",,,6","15.88",",,,6","","","","","","","","","",""
"USW00013975","1906-07","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","400.4","6","170.6",",6","","","","","","","","","","","0",",6","0",",6","0",",6","31",",6","8",",6","","","","","19060704",",,6","","","","","","","","","19060721",",,6","10.6",",6,04,","","","","","","","36.7",",6,21,","0.0","6","0.0",",6","","","","","","","","","","","23.84",",6","30.42",",,,6","17.25",",,,6","","","","","","","","","",""
"USW00013975","1906-08","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","612.1","6","211.7",",6","9",",6","7",",6","1",",6","","","","","0",",6","0",",6","0",",6","31",",6","13",",6","","","","","19060826",",,6","","","","","","","19060807",",,6","19060823",",,6","10.0",",6,26,","","","","","34.3",",,6,07,","36.7",",6,23,","0.0","6","0.0",",6","108.9",",,,6","","","","","","","","","25.16",",6","31.76",",,,6","18.56",",,,6","","","","","","","","","",""
"USW00013975","1906-09","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","731.9","6","119.8",",6","6",",6","4",",6","0",",6","","","","","0",",6","0",",6","0",",6","28",",6","6",",6","","","","","19060930",",,6","","","","","","","19060917",",,6","19060909",",,6","5.6",",6,30,","","","","","24.4",",,6,17,","33.9",",6,09,","12.5","6","12.5",",6","74.9",",,,6","","","","","","","","","21.91",",6","28.91",",,,6","14.91",",,,6","","","","","","","","","",""
"USW00013975","1906-10","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","733.0","6","1.1",",6","5",",6","4",",6","2",",6","","","","","0",",6","6",",6","0",",6","17",",6","0",",6","","","","","19061031",",,6","","","","","","","19061014",",,6","19061003",",,6","-6.1",",6,31,","","","","","36.8",",,6,14,","29.4",",6,03,","155.2","6","142.7",",6","79.3",",,,6","","","","","","","","","13.76",",6","21.95",",,,6","5.57",",,,6","","","","","","","","","",""
"USW00013975","1906-11","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","733.0","6","0.0",",6","7",",6","6",",6","0",",6","","","1",",6","2",",6","20",",6","3",",6","7",",6","0",",6","","","","","19061121",",,6","","","19061119",",,6","","","19061119",",,6","19061106",",,6","-20.6",",6,21,","","","203",",,6,19,","20.3",",,6,19,","25.6",",6,06,","538.4","6","383.2",",6","66.9",",,,6","","","","","","","203",",,,6","5.56",",6","12.64",",,,6","-1.52",",,,6","","","","","","","","","",""
"USW00013975","1906-12","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","733.0","6","0.0",",6","2",",6","1",",6","0",",6","","","","","0",",6","21",",6","0",",6","3",",6","0",",6","","","","","19061218",",,6","","","","","","","19061201",",,6","19061213",",,6","-10.0",",6,18,","","","","","16.5",",,6,01,","22.2",",6,13,","963.5","6","425.1",",6","17.8",",,,6","","","","","","","","","4.62",",6","11.76",",,,6","-2.52",",,,6","","","","","","","","","",""
"USW00013975","1907-01","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","0.0","6","0.0",",6","7",",6","4",",6","1",",6","","","0",",6","0",",6","28",",6","4",",6","0",",6","0",",6","","","","","19070130",",,6","","","19070109",",,6","","","19070119",",,6","19070107",",,6","-10.6",",6,30,","","","0",",T,6,09,","26.4",",,6,19,","20.0",",6,07,","1435.9","6","472.4",",6","56.0",",,,6","","","","","","","0",",T,,6","3.10",",6","10.38",",,,6","-4.19",",,,6","","","","","","","","","",""
"USW00013975","1907-02","36.29659","-99.76865","665.9","GAGE AIRPORT, OK US","","","","","","","","","","","0.0","6","0.0",",6","1",",6","1",",6","0",",6","","","","","1",",6","27",",6","4",",6","8",",6","0",",6","","","","","19070204",",,6","","","","","","","19070227",",,6","19070226","+,,6","-21.7",",6,04,","","","","","4.6",",,6,27,","24.4",",6,26,+","1814.9","6","379.0",",6","4.6",",,,6","","","","","","","","","4.80",",6","15.23",",,,6","-5.64",",,,6","","","","","","","","","",""
