STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,PSUN,PSUN_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDFM,WDFM_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES,WSFM,WSFM_ATTRIBUTES
USW00014971,1881-02,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,9,",F",7,",F",1,",F",,,7,"2,F",,,,,,,,,,,,,,,,,,,18810207,",2,F",,,18810207,",,F",,,,,,,292,"2,,F,07,",29.2,",,F,07,",,,,,,,70.2,",,,F",,,699,"2,,,F",,,,,,,,,,,,,,,,
USW00014971,1881-04,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,9,"3,F",9,"3,F",2,"3,F",,,,,,,,,,,,,,,,,,,,,,,,,,,18810414,",3,F",,,,,,,,,76.2,"3,,F,14,",,,,,,,212.3,"3,,,F",,,,,,,,,,,,,,,,,,,,
USW00014971,1881-05,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,9,"1,F",9,"1,F",4,"1,F",,,,,,,,,,,,,,,,,,,,,,,,,,,18810511,",1,F",,,,,,,,,88.9,"1,,F,11,",,,,,,,292.1,"1,,,F",,,,,,,,,,,,,,,,,,,,
USW00014971,1881-06,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,4,",F",4,",F",4,",F",,,0,"2,F",,,,,,,,,,,,,,,,,,,18810630,"+,2,F",,,18810620,"+,,F",,,,,,,0,"2,,F,30,+",38.1,",,F,20,+",,,,,,,135.4,",,,F",,,0,"2,,,F",,,,,,,,,,,,,,,,
USW00014971,1881-07,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,3,",F",3,",F",0,",F",,,0,"3,F",,,,,,,,,,,,,,,,,,,18810731,"+,3,F",,,18810704,",,F",,,,,,,0,"3,,F,31,+",19.1,",,F,04,",,,,,,,33.9,",,,F",,,0,"3,,,F",,,,,,,,,,,,,,,,
USW00014971,1881-08,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,1,",F",1,",F",0,",F",,,0,"1,F",,,,,,,,,,,,,,,,,,,18810831,"+,1,F",,,18810812,",,F",,,,,,,0,"1,,F,31,+",6.4,",,F,12,",,,,,,,6.4,",,,F",,,0,"1,,,F",,,,,,,,,,,,,,,,
USW00014971,1881-09,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,4,",F",4,",F",2,",F",,,0,"3,F",,,,,,,,,,,,,,,,,,,18810930,"+,3,F",,,18810916,",,F",,,,,,,0,"3,,F,30,+",38.1,",,F,16,",,,,,,,82.6,",,,F",,,0,"3,,,F",,,,,,,,,,,,,,,,
USW00014971,1881-11,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,2,"1,F",2,"1,F",1,"1,F",,,1,",F",,,,,,,,,,,,,,,,,,,18811110,",,F",,,18811112,",1,F",,,,,,,108,",,F,10,",108,"1,,F,12,",,,,,,,120.7,"1,,,F",,,121,",,,F",,,,,,,,,,,,,,,,
USW00014971,1881-12,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,1,",F",1,",F",0,",F",,,,,,,,,,,,,,,,,,,,,,,,,,,18811226,",,F",,,,,,,,,12.7,",,F,26,",,,,,,,12.7,",,,F",,,,,,,,,,,,,,,,,,,,
USW00014971,1882-01,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,3,",F",3,",F",1,",F",,,1,"3,F",,,,,,,,,,,,,,,,,,,18820104,",3,F",,,18820106,",,F",,,,,,,83,"3,,F,04,",76.2,",,F,06,",,,,,,,95.3,",,,F",,,101,"3,,,F",,,,,,,,,,,,,,,,
USW00014971,1882-02,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,3,"1,F",3,"1,F",2,"1,F",,,0,"4,F",,,,,,,,,,,,,,,,,,,18820228,"+,4,F",,,18820225,"+,1,F",,,,,,,0,"4,,F,28,+",101.6,"1,,F,25,+",,,,,,,209.6,"1,,,F",,,0,"4,,,F",,,,,,,,,,,,,,,,
USW00014971,1882-03,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,0,",F",0,",F",0,",F",,,0,",F",,,,,,,,,,,,,,,,,,,18820331,"+,,F",,,18820331,"+,,F",,,,,,,0,",,F,31,+",0,",,F,31,+",,,,,,,0,",,,F",,,0,",,,F",,,,,,,,,,,,,,,,
USW00014971,1882-05,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,6,",F",6,",F",4,",F",,,,,,,,,,,,,,,,,,,,,,,,,,,18820522,",,F",,,,,,,,,82.6,",,F,22,",,,,,,,287.9,",,,F",,,,,,,,,,,,,,,,,,,,
USW00014971,1882-09,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,1,",F",1,",F",0,",F",,,0,"2,F",,,,,,,,,,,,,,,,,,,18820930,"+,2,F",,,18820927,",,F",,,,,,,0,"2,,F,30,+",6.4,",,F,27,",,,,,,,6.4,",,,F",,,0,"2,,,F",,,,,,,,,,,,,,,,
USW00014971,1882-10,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,2,",F",2,",F",0,",F",,,0,"3,F",,,,,,,,,,,,,,,,,,,18821031,"+,3,F",,,18821007,",,F",,,,,,,0,"3,,F,31,+",8.4,",,F,07,",,,,,,,14.8,",,,F",,,0,"3,,,F",,,,,,,,,,,,,,,,
USW00014971,1882-11,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,1,",F",1,",F",0,",F",,,0,"1,F",,,,,,,,,,,,,,,,,,,18821130,"+,1,F",,,18821111,",,F",,,,,,,0,"1,,F,30,+",8.4,",,F,11,",,,,,,,8.4,",,,F",,,0,"1,,,F",,,,,,,,,,,,,,,,
USW00014971,1882-12,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,5,",F",2,",F",0,",F",,,1,"1,F",,,,,,,,,,,,,,,,,,,18821203,",1,F",,,18821220,"+,,F",,,,,,,127,"1,,F,03,",12.7,",,F,20,+",,,,,,,28.8,",,,F",,,159,"1,,,F",,,,,,,,,,,,,,,,
USW00014971,1883-01,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,5,"1,F",5,"1,F",3,"1,F",,,2,",F",,,,,,,,,,,,,,,,,,,18830118,",,F",,,18830127,",1,F",,,,,,,171,",,F,18,",76.2,"1,,F,27,",,,,,,,175.6,"1,,,F",,,228,",,,F",,,,,,,,,,,,,,,,
USW00014971,1883-02,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,0,"3,F",4,"2,F",4,"2,F",1,"2,F",,,2,"3,F",0,"3,F",25,"3,F",19,",F",0,",F",0,",F",,,,,18830225,"+,3,F",,,18830202,",3,F",,,18830224,",2,F",18830227,",,F",-17.2,"3,F,25,+",,,184,"3,,F,02,",69.9,"2,,F,24,",10,",F,27,",,,724.9,",F",100.6,"2,,,F",,,222,"3,,,F",-10.37,"3,F",-4.12,",,,F",-16.62,"3,,,F",,,,,,,,,,
USW00014971,1883-05,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,46.1,",F",5,",F",5,",F",1,",F",,,,,0,",F",1,",F",0,",F",20,",F",1,",F",,,,,18830502,",,F",,,,,,,18830513,",,F",18830528,",,F",0,",F,02,",,,,,57.2,",,F,13,",32.8,",F,28,",,,80.6,",F",82.8,",,,F",,,,,17.22,",F",21.75,",,,F",12.69,",,,F",,,,,,,,,,
USW00014971,1883-07,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,286.9,",F",4,",F",4,",F",0,",F",,,0,",F",0,",F",0,",F",0,",F",31,",F",16,",F",,,,,18830730,",,F",,,18830731,"+,,F",,,18830712,",,F",18830725,",,F",15.6,",F,30,",,,0,",,F,31,+",12.7,",,F,12,",41.1,",F,25,",0,F,0,",F",33.9,",,,F",,,0,",,,F",27.59,",F",32.93,",,,F",22.25,",,,F",,,,,,,,,,
USW00014971,1883-08,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,205.6,"2,F",3,",F",3,",F",2,",F",,,0,"3,F",0,"1,F",0,"1,F",0,"1,F",30,"1,F",13,"1,F",,,,,18830819,",1,F",,,18830831,"+,3,F",,,18830811,",,F",18830816,",1,F",10.6,"1,F,19,",,,0,"3,,F,31,+",165.1,",,F,11,",40.6,"1,F,16,",0,F,0,"1,F",285.8,",,,F",,,0,"3,,,F",25.38,"2,F",30.76,"1,,,F",20.01,"1,,,F",,,,,,,,,,
USW00014971,1883-09,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,121.6,"1,F",3,",F",3,",F",0,",F",,,0,"2,F",0,",F",0,",F",0,"1,F",23,"1,F",5,"1,F",,,,,18830921,",,F",,,18830930,"+,2,F",,,18830921,",,F",18830902,",1,F",4.4,",F,21,",,,0,"2,,F,30,+",8.4,",,F,21,",35.6,"1,F,02,",39.7,F,39.7,"1,F",21.2,",,,F",,,0,"2,,,F",20.96,"1,F",26.04,"1,,,F",15.88,",,,F",,,,,,,,,,
USW00014971,1883-10,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,3,",F",3,",F",2,",F",,,0,"4,F",0,"3,F",0,"3,F",0,"3,F",15,"3,F",0,"3,F",,,,,18831026,",3,F",,,18831031,"+,4,F",,,18831024,",,F",18831007,",3,F",3.9,"3,F,26,",,,0,"4,,F,31,+",57.2,",,F,24,",31.7,"3,F,07,",,,,,108.1,",,,F",,,0,"4,,,F",17.27,"6,F",20.95,"3,,,F",13.58,"3,,,F",,,,,,,,,,
USW00014971,1883-12,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,0.3,"4,F",1,",F",1,",F",0,",F",,,0,",F",0,"2,F",15,"2,F",9,"2,F",4,"2,F",0,"2,F",,,,,18831231,",2,F",,,18831231,"+,,F",,,18831225,",,F",18831207,"+,2,F",-16.1,"2,F,31,",,,0,",,F,31,+",6.4,",,F,25,",23.3,"2,F,07,+",,,377.5,"2,F",6.4,",,,F",,,0,",,,F",3.86,"4,F",8.29,"2,,,F",-0.57,"2,,,F",,,,,,,,,,
USW00014971,1886-10,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,17.8,",F",3,",F",3,",F",0,",F",,,,,0,",F",4,",F",0,",F",17,",F",0,",F",,,,,18861028,",,F",,,,,,,18861014,",,F",18861011,",,F",-5.6,",F,28,",,,,,8.4,",,F,14,",28.9,",F,11,",,,141.9,",F",17.3,",,,F",,,,,14.33,",F",20.92,",,,F",7.74,",,,F",,,,,,,,,,
USW00014971,1886-11,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,1.5,"3,F",,,,,,,,,,,0,"2,F",23,"2,F",3,"1,F",1,"1,F",0,"1,F",,,,,18861125,",2,F",,,,,,,,,18861101,",1,F",-12.8,"2,F,25,",,,,,,,23.6,"1,F,01,",,,428.1,"1,F",,,,,,,2.41,"3,F",8.52,"1,,,F",-3.71,"2,,,F",,,,,,,,,,
USW00014971,1886-12,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",,,,,3,",F",1,",F",0,",F",,,,,9,"4,F",24,"4,F",13,"5,F",0,"5,F",0,"5,F",,,,,18861227,"+,4,F",,,,,,,18861217,",,F",18861211,",5,F",-23.9,"4,F,27,+",,,,,2.5,",,F,17,",18.3,"5,F,11,",,,,,3.1,",,,F",,,,,-6.19,"8,F",-0.28,"5,,,F",-12.09,"4,,,F",,,,,,,,,,
USW00014971,1887-01,40.8389,-96.6869,350.5,"LINCOLN WASTE WATER TREATMENT PLANT, NE US",0,Z,0,",F",3,",F",2,",F",0,",F",,,,,13,",F",31,",F",19,",F",0,",F",0,",F",,,,,18870102,",,F",,,,,,,18870122,",,F",18870124,",,F",-30,",F,02,",,,,,3.8,",,F,22,",12.8,",F,24,",,,873.6,",F",7.6,",,,F",,,,,-9.85,",F",-3.62,",,,F",-16.08,",,,F",,,,,,,,,,
