"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023047","1947-01","35.22027","-101.71733","1099.3","AMARILLO AIRPORT, TX US","","","","","","","","","","","","","","","3",",S","1",",S","0",",S","","","","","1","2,S","25","2,S","","","","","","","","","","","19470104",",2,S","","","","","","","19470102",",,S","","","-19.2","2,S,04,","","","","","5.1",",,S,02,","","","","","","","8.1",",,,S","","","","","","","","","","","","","","","-4.45","2,,,S","","","","","","","","","","","","","","","","","","","","","",""
"USW00023047","1947-02","35.22027","-101.71733","1099.3","AMARILLO AIRPORT, TX US","","","","","","","","","","","","","","","4",",S","0",",S","0",",S","","","","","0",",S","25",",S","","","","","","","","","","","19470209",",,S","","","","","","","19470227",",,S","","","-11.5",",S,09,","","","","","1.0",",,S,27,","","","","","","","1.9",",,,S","","","","","","","","","","","","","","","-5.35",",,,S","","","","","","","","","","","","","","","","","","","","","",""
"USW00023047","1947-03","35.22027","-101.71733","1099.3","AMARILLO AIRPORT, TX US","","","","","","","","","","","","","","","5",",S","2",",S","0",",S","","","","","0",",S","16",",S","","","","","","","","","","","19470302",",,S","","","","","","","19470309",",,S","","","-10.4",",S,02,","","","","","9.9",",,S,09,","","","","","","","20.0",",,,S","","","","","","","","","","","","","","","-1.45",",,,S","","","","","","","","","","","","","","","","","","","","","",""
"USW00023047","1947-04","35.22027","-101.71733","1099.3","AMARILLO AIRPORT, TX US","","","","","","","","","","","","","","","9",",S","5",",S","0",",S","","","","","0","2,S","2","2,S","","","","","","","","","","","19470416",",2,S","","","","","","","19470424",",,S","","","-1.5","2,S,16,","","","","","17.0",",,S,24,","","","","","","","52.4",",,,S","","","","","","","","","","","","","","","5.06","2,,,S","","","","","","","","","","","","","","","","","","","","","",""
"USW00023047","1947-05","35.22027","-101.71733","1099.3","AMARILLO AIRPORT, TX US","","","","","","","","","","","","","","","12",",S","9",",S","2",",S","","","","","0","2,S","0","2,S","","","","","","","","","","","19470529",",2,S","","","","","","","19470510",",,S","","","2.4","2,S,29,","","","","","27.9",",,S,10,","","","","","","","116.9",",,,S","","","","","","","","","","","","","","","10.82","2,,,S","","","","","","","","","","","","","","","","","","","","","",""
"USW00023047","1947-06","35.22027","-101.71733","1099.3","AMARILLO AIRPORT, TX US","","","","","","","","","","","","","","","7",",S","5",",S","1",",S","","","","","0","2,S","0","2,S","","","","","","","","","","","19470614",",2,S","","","","","","","19470603",",,S","","","6.9","2,S,14,","","","","","39.9",",,S,03,","","","","","","","81.6",",,,S","","","","","","","","","","","","","","","15.24","2,,,S","","","","","","","","","","","","","","","","","","","","","",""
"USW00023047","1947-07","35.22027","-101.71733","1099.3","AMARILLO AIRPORT, TX US","","","","","","","","","","","","","","","4",",S","4",",S","0",",S","","","","","0","1,S","0","1,S","0","5,S","26","5,S","20","5,S","","","","","19470723",",1,S","","","","","","","19470717","+,,S","19470705",",5,S","14.1","1,S,23,","","","","","15.0",",,S,17,+","38.0","5,S,05,","","","","","38.1",",,,S","","","","","","","","","","","26.15","6,S","34.61","5,,,S","17.70","1,,,S","","","","","","","","","","","","","","","","","","","","","",""
"USW00023047","1947-08","35.22027","-101.71733","1099.3","AMARILLO AIRPORT, TX US","","","","","","","","","","","","","208.4","5,S","6",",S","2",",S","0",",S","","","","","0","1,S","0","1,S","0","4,S","27","4,S","25","4,S","","","","","19470827",",1,S","","","","","","","19470812","+,,S","19470831","+,4,S","14.6","1,S,27,","","","","","3.0",",,S,12,+","37.4","4,S,31,+","","","0.0","4,S","10.0",",,,S","","","","","","","","","","","26.46","5,S","34.33","4,,,S","18.59","1,,,S","","","","","","","","","","","","","","","","","","","","","",""
"USW00023047","1947-09","35.22027","-101.71733","1099.3","AMARILLO AIRPORT, TX US","","","","","","","","","","","","","141.1","4,S","1",",S","1",",S","0",",S","","","","","0","1,S","0","1,S","0","3,S","27","3,S","17","3,S","","","","","19470915",",1,S","","","","","","","19470910",",,S","19470903","+,3,S","6.3","1,S,15,","","","","","6.1",",,S,10,","39.1","3,S,03,+","","","4.0","3,S","6.1",",,,S","","","","","","","","","","","23.66","4,S","32.67","3,,,S","14.64","1,,,S","","","","","","","","","","","","","","","","","","","","","",""
"USW00023047","1947-10","35.22027","-101.71733","1099.3","AMARILLO AIRPORT, TX US","","","","","","","","","","","","","49.5","5,S","3",",S","0",",S","0",",S","","","","","0",",S","0",",S","0","5,S","25","5,S","2","5,S","","","","","19471023",",,S","","","","","","","19471025",",,S","19471004",",5,S","3.0",",S,23,","","","","","2.0",",,S,25,","33.0","5,S,04,","","","28.2","5,S","3.5",",,,S","","","","","","","","","","","18.89","5,S","27.65","5,,,S","10.14",",,,S","","","","","","","","","","","","","","","","","","","","","",""
