STATION,DATE,LATITUDE,LONGITUDE,ELEVATION,NAME,ADPT,ADPT_ATTRIBUTES,ASLP,ASLP_ATTRIBUTES,ASTP,ASTP_ATTRIBUTES,AWBT,AWBT_ATTRIBUTES,AWND,AWND_ATTRIBUTES,CDSD,CDSD_ATTRIBUTES,CLDD,CLDD_ATTRIBUTES,DP01,DP01_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DP1X,DP1X_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,DYFG,DYFG_ATTRIBUTES,DYHF,DYHF_ATTRIBUTES,DYNT,DYNT_ATTRIBUTES,DYSD,DYSD_ATTRIBUTES,DYSN,DYSN_ATTRIBUTES,DYTS,DYTS_ATTRIBUTES,DYXP,DYXP_ATTRIBUTES,DYXT,DYXT_ATTRIBUTES,EMNT,EMNT_ATTRIBUTES,EMSD,EMSD_ATTRIBUTES,EMSN,EMSN_ATTRIBUTES,EMXP,EMXP_ATTRIBUTES,EMXT,EMXT_ATTRIBUTES,EVAP,EVAP_ATTRIBUTES,HDSD,HDSD_ATTRIBUTES,HN01,HN01_ATTRIBUTES,HTDD,HTDD_ATTRIBUTES,HX01,HX01_ATTRIBUTES,LN01,LN01_ATTRIBUTES,LX01,LX01_ATTRIBUTES,MN01,MN01_ATTRIBUTES,MNPN,MNPN_ATTRIBUTES,MX01,MX01_ATTRIBUTES,MXPN,MXPN_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,RHAV,RHAV_ATTRIBUTES,RHMN,RHMN_ATTRIBUTES,RHMX,RHMX_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF1,WDF1_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WDFG,WDFG_ATTRIBUTES,WDMV,WDMV_ATTRIBUTES,WSF1,WSF1_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WSFG,WSFG_ATTRIBUTES
USW00023065,1895-06,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,,,6,",6",5,",6",0,",6",,,,,,,,,,,,,,,,,,,,,,,,,,,18950609,",,6",,,,,,,,,17.3,",,6,09,",,,,,,,,,,,,,,,,,,,,,,,,,44.9,",,,6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USW00023065,1895-07,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,104.2,",6",7,",6",7,",6",3,",6",,,,,0,",6",0,",6",0,",6",26,",6",9,",6",,,,,18950711,",,6",,,,,,,18950701,",,6",18950726,"+,,6",4.4,",6,11,",,,,,38.4,",,6,01,",35.6,",6,26,+",,,30.4,6,,,30.4,",6",,,,,,,,,,,,,,,140,",,,6",,,,,,,,,20.71,",6",27.88,",,,6",13.55,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1895-08,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,140.6,",6",5,",6",3,",6",0,",6",,,,,0,",6",0,",6",0,",6",30,",6",13,",6",,,,,18950825,"+,,6",,,,,,,18950828,",,6",18950826,",,6",10.6,",6,25,+",,,,,4.3,",,6,28,",37.8,",6,26,",,,34.5,6,,,4.1,",6",,,,,,,,,,,,,,,13,",,,6",,,,,,,,,22.74,",6",30.71,",,,6",14.76,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1895-09,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,122,"2,6",1,",6",1,",6",1,",6",,,0,",6",0,"1,6",2,"1,6",0,"1,6",25,"1,6",16,"1,6",,,,,18950929,",1,6",,,18950922,",,6",,,18950922,",,6",18950914,",1,6",-2.2,"1,6,29,",,,0,",T,6,22,",29.5,",,6,22,",38.3,"1,6,14,",,,80.8,6,,,46.3,"1,6",,,,,,,,,,,,,,,29.5,",,,6",,,,,,,0,",T,,6",20.74,"2,6",30.44,"1,,,6",11.04,"1,,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1895-10,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,0,",6",1,",6",1,",6",0,",6",,,0,",6",0,",6",10,",6",0,",6",12,",6",0,",6",,,,,18951029,",,6",,,18951030,",,6",,,18951030,",,6",18951017,",,6",-8.3,",6,29,",,,0,",T,6,30,",10.2,",,6,30,",26.7,",6,17,",,,335.4,6,,,254.6,",6",,,,,,,,,,,,,,,10.2,",,,6",,,,,,,0,",T,,6",10.12,",6",18.68,",,,6",1.56,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1895-11,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,0,",6",4,",6",4,",6",0,",6",,,3,",6",0,",6",27,",6",3,",6",2,",6",0,",6",,,,,18951126,",,6",,,18951124,",,6",,,18951113,",,6",18951101,",,6",-15.6,",6,26,",,,102,",,6,24,",10.9,",,6,13,",22.2,",6,01,",,,782.3,6,,,446.9,",6",,,,,,,,,,,,,,,23,",,,6",,,,,,,165,",,,6",3.44,",6",11.56,",,,6",-4.69,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1895-12,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,,,0,"2,6",3,",6",2,",6",0,",6",,,2,",6",0,"1,6",30,"1,6",5,"1,6",1,"1,6",0,"1,6",,,,,18951230,",1,6",,,18951218,"+,,6",,,18951218,"+,,6",18951213,",1,6",-16.1,"1,6,30,",,,25,",,6,18,+",2.5,",,6,18,+",21.1,"1,6,13,",,,1317.5,6,,,535.2,"1,6",,,,,,,,,,,,,,,6.3,",,,6",,,,,,,63,",,,6",-0.23,"2,6",6.72,"1,,,6",-7.18,"1,,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1896-01,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,Z,0,",6",1,",6",1,",6",0,",6",,,,,1,",6",31,",6",3,",6",1,",6",0,",6",,,,,18960103,",,6",,,,,,,18960130,",,6",18960120,",,6",-23.9,",6,03,",,,,,8.9,",,6,30,",25,",6,20,",,,1833.6,6,,,516.1,",6",,,,,,,,,,,,,,,8.9,",,,6",,,,,,,,,1.69,",6",10.23,",,,6",-6.86,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1896-02,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,Z,0,",6",0,",6",0,",6",0,",6",,,0,",6",0,",6",29,",6",1,",6",1,",6",0,",6",,,,,18960208,",,6",,,18960208,"+,,6",,,18960208,"+,,6",18960226,",,6",-11.7,",6,08,",,,0,",T,6,08,+",0,",T,6,08,+",21.7,",6,26,",,,2303.5,6,,,469.9,",6",,,,,,,,,,,,,,,0,",T,,6",,,,,,,0,",T,,6",2.13,",6",10.8,",,,6",-6.54,",,,6",,,,,,,,,,,,,,,,,,,,
USW00023065,1896-03,39.36729,-101.69322,1110.5,"GOODLAND RENNER FIELD, KS US",,,,,,,,,,,0,Z,0,"3,6",,,,,,,,,2,",6",3,"3,6",23,"3,6",2,"3,6",6,"3,6",0,"3,6",,,,,18960318,",3,6",,,18960303,",,6",,,,,18960329,",3,6",-20.6,"3,6,18,",,,102,",,6,03,",,,26.1,"3,6,29,",,,2747.6,6,,,444.1,"3,6",,,,,,,,,,,,,,,,,,,,,,,166,",,,6",2.47,"3,6",11.91,"3,,,6",-6.96,"3,,,6",,,,,,,,,,,,,,,,,,,,
