"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00024028","1893-01","41.87466","-103.60112","1206.0","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","","","","","","","","","","","0.0","6","0.0",",6","2",",6","1",",6","0",",6","","","0",",6","1",",6","24",",6","6",",6","0",",6","0",",6","","","","","18930131",",,6","","","18930113",",,6","","","18930102",",,6","18930110",",,6","-26.7",",6,31,","","","13",",,6,13,","5.1",",,6,02,","15.6",",6,10,","","","574.8",",6","6.4",",,,6","","","","","","","13",",,,6","-0.21",",6","6.68",",,,6","-7.10",",,,6","","","","","","","","","","","","","","","","","",""
"USW00024028","1893-02","41.87466","-103.60112","1206.0","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","","","","","","","","","","","0.0","6","0.0","1,6","4",",6","2",",6","0",",6","","","2",",6","5","1,6","27","1,6","7",",6","0",",6","0",",6","","","","","18930206","+,1,6","","","18930226",",,6","","","18930226",",,6","18930219",",,6","-26.7","1,6,06,+","","","51",",,6,26,","5.1",",,6,26,","15.0",",6,19,","","","589.2",",6","11.5",",,,6","","","","","","","115",",,,6","-3.46","1,6","4.21",",,,6","-11.12","1,,,6","","","","","","","","","","","","","","","","","",""
"USW00024028","1893-03","41.87466","-103.60112","1206.0","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","","","","","","","","","","","0.6","6","0.6","3,6","5","2,6","2","2,6","0","2,6","","","1",",6","1",",6","28",",6","4","3,6","2","3,6","0","3,6","","","","","18930303",",,6","","","18930303",",,6","","","18930303",",2,6","18930330",",3,6","-17.8",",6,03,","","","33",",,6,03,","3.3","2,,6,03,","26.1","3,6,30,","","","461.2","3,6","8.2","2,,,6","","","","","","","33",",,,6","1.83","3,6","9.44","3,,,6","-5.78",",,,6","","","","","","","","","","","","","","","","","",""
"USW00024028","1893-04","41.87466","-103.60112","1206.0","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","","","","","","","","","","","0.6","6","0.0","5,6","6","4,6","1","4,6","0","4,6","","","2",",6","0","4,6","17","4,6","1","1,6","7","1,6","0","1,6","","","","","18930430","+,4,6","","","18930429",",,6","","","18930426",",4,6","18930406",",1,6","-6.7","4,6,30,+","","","127",",,6,29,","2.8","4,,6,26,","26.7","1,6,06,","","","301.6","1,6","8.2","4,,,6","","","","","","","191",",,,6","6.74","5,6","13.57","1,,,6","-0.08","4,,,6","","","","","","","","","","","","","","","","","",""
"USW00024028","1893-05","41.87466","-103.60112","1206.0","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","","","","","","","","","","","6.8","6","6.2","1,6","5","3,6","0","3,6","0","3,6","","","","","0",",6","5",",6","0","1,6","17","1,6","0","1,6","","","","","18930525",",,6","","","","","","","18930524","+,3,6","18930518","+,1,6","-1.1",",6,25,","","","","","2.3","3,,6,24,+","31.1","1,6,18,+","","","177.0","1,6","10.2","3,,,6","","","","","","","","","12.56","1,6","20.23","1,,,6","4.89",",,,6","","","","","","","","","","","","","","","","","",""
"USW00024028","1893-06","41.87466","-103.60112","1206.0","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","","","","","","","","","","","130.4","6","123.6","1,6","6",",6","5",",6","1",",6","","","","","0","1,6","0","1,6","0",",6","28",",6","16",",6","","","","","18930605",",1,6","","","","","","","18930629",",,6","18930611",",,6","3.3","1,6,05,","","","","","28.2",",,6,29,","38.3",",6,11,","","","27.0",",6","48.0",",,,6","","","","","","","","","21.72","1,6","30.22",",,,6","13.22","1,,,6","","","","","","","","","","","","","","","","","",""
"USW00024028","1893-07","41.87466","-103.60112","1206.0","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","","","","","","","","","","","293.0","6","162.6","3,6","8",",6","3",",6","0",",6","","","","","0","2,6","0","2,6","0","2,6","29","2,6","16","2,6","","","","","18930707",",2,6","","","","","","","18930713",",,6","18930724","+,2,6","11.1","2,6,07,","","","","","8.9",",,6,13,","35.6","2,6,24,+","0.0","6","0.0","2,6","25.7",",,,6","","","","","","","","","24.10","3,6","31.98","2,,,6","16.23","2,,,6","","","","","","","","","","","","","","","","","",""
"USW00024028","1893-08","41.87466","-103.60112","1206.0","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","","","","","","","","","","","401.4","6","108.4",",6","7","1,6","4","1,6","0","1,6","","","","","0",",6","0",",6","0",",6","30",",6","10",",6","","","","","18930815",",,6","","","","","","","18930815",",1,6","18930808","+,,6","6.7",",6,15,","","","","","19.8","1,,6,15,","35.6",",6,08,+","11.6","6","11.6",",6","58.2","1,,,6","","","","","","","","","21.45",",6","29.67",",,,6","13.24",",,,6","","","","","","","","","","","","","","","","","",""
"USW00024028","1893-09","41.87466","-103.60112","1206.0","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","","","","","","","","","","","","","","","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","","","18930930",",,6","","","","","","","","","1.3",",,6,30,","","","","","","","1.3",",,,6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00024028","1893-10","41.87466","-103.60112","1206.0","SCOTTSBLUFF W B HEILIG FIELD AIRPORT, NE US","","","","","","","","","","","","","0.0","1,6","4",",6","1",",6","0",",6","","","0",",6","0","1,6","12","1,6","0",",6","13",",6","0",",6","","","","","18931023",",1,6","","","18931025",",,6","","","18931011",",,6","18931009",",,6","-6.7","1,6,23,","","","0",",T,6,25,","7.6",",,6,11,","31.7",",6,09,","","","250.0",",6","13.2",",,,6","","","","","","","0",",T,,6","9.98","1,6","18.94",",,,6","1.02","1,,,6","","","","","","","","","","","","","","","","","",""
