"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00093820","1872-11","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","","","0.0","4,0","8",",0","5",",0","0",",0","","","","","0","2,0","16","2,0","5","2,0","0","2,0","0","2,0","","","","","18721129",",2,0","","","","","","","18721126",",,0","18721110",",2,0","-16.7","2,0,29,","","","","","9.7",",,0,26,","17.2","2,0,10,","","","429.5","2,0","30.8",",,,0","","","","","","","","","2.21","4,0","6.74","2,,,0","-2.31","2,,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1872-12","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","","","0.0",",0","13",",0","7",",0","0",",0","","","","","2",",0","29",",0","15",",0","0",",0","0",",0","","","","","18721224",",,0","","","","","","","18721219",",,0","18721207",",,0","-18.9",",0,24,","","","","","18.3",",,0,19,","10.0",",0,07,","","","662.0",",0","83.9",",,,0","","","","","","","","","-3.02",",0","1.13",",,,0","-7.17",",,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1873-01","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","0.0","0","0.0","2,0","15",",0","7",",0","0",",0","","","","","1","1,0","24","1,0","12","1,0","0","1,0","0","1,0","","","","","18730129",",1,0","","","","","","","18730123",",,0","18730115",",1,0","-19.4","1,0,29,","","","","","17.0",",,0,23,","17.2","1,0,15,","","","575.5","1,0","64.3",",,,0","","","","","","","","","-1.50","2,0","2.63","1,,,0","-5.63","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1873-02","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","0.0","0","0.0",",0","11",",0","10",",0","0",",0","","","","","0",",0","18",",0","3",",0","0",",0","0",",0","","","","","18730223",",,0","","","","","","","18730215",",,0","18730218",",,0","-17.2",",0,23,","","","","","23.6",",,0,15,","17.8",",0,18,","","","460.7",",0","102.9",",,,0","","","","","","","","","1.88",",0","6.51",",,,0","-2.75",",,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1873-03","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","0.0","0","0.0",",0","12",",0","10",",0","0",",0","","","","","1",",0","12",",0","3",",0","1",",0","0",",0","","","","","18730304",",,0","","","","","","","18730328",",,0","18730315",",,0","-18.3",",0,04,","","","","","16.0",",,0,28,","22.2",",0,15,","","","401.8",",0","94.8",",,,0","","","","","","","","","5.37",",0","10.76",",,,0","-0.02",",,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1873-04","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","19.2","0","19.2",",0","11",",0","5",",0","0",",0","","","","","0",",0","2",",0","0",",0","7",",0","0",",0","","","","","18730424",",,0","","","","","","","18730428",",,0","18730406","+,,0","-0.6",",0,24,","","","","","21.6",",,0,28,","28.9",",0,06,+","","","222.1",",0","73.5",",,,0","","","","","","","","","11.57",",0","16.46",",,,0","6.68",",,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1873-05","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","66.0","0","46.8",",0","15",",0","11",",0","2",",0","","","","","0",",0","0",",0","0",",0","23",",0","0",",0","","","","","18730504",",,0","","","","","","","18730527",",,0","18730523",",,0","6.1",",0,04,","","","","","33.0",",,0,27,","29.4",",0,23,","","","46.2",",0","153.9",",,,0","","","","","","","","","18.35",",0","23.04",",,,0","13.67",",,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1873-06","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","213.7","0","147.7",",0","11",",0","8",",0","1",",0","","","","","0",",0","0",",0","0",",0","30",",0","0",",0","","","","","18730608","+,,0","","","","","","","18730614",",,0","18730624",",,0","13.9",",0,08,+","","","","","61.0",",,0,14,","31.1",",0,24,","","","0.0",",0","114.1",",,,0","","","","","","","","","23.26",",0","27.24",",,,0","19.28",",,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1873-07","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","384.3","0","170.6",",0","10",",0","8",",0","1",",0","","","","","0",",0","0",",0","0",",0","31",",0","2",",0","","","","","18730712",",,0","","","","","","","18730727",",,0","18730724","+,,0","15.6",",0,12,","","","","","30.0",",,0,27,","32.2",",0,24,+","0.0","0","0.0",",0","85.7",",,,0","","","","","","","","","23.84",",0","28.59",",,,0","19.08",",,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1873-08","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","541.3","0","157.0",",0","11",",0","7",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","2",",0","","","","","18730805","+,,0","","","","","","","18730828",",,0","18730825",",,0","13.9",",0,05,+","","","","","24.4",",,0,28,","33.3",",0,25,","0.0","0","0.0",",0","75.3",",,,0","","","","","","","","","23.40",",0","27.93",",,,0","18.86",",,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1873-09","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","625.8","0","84.5",",0","7",",0","4",",0","0",",0","","","","","0",",0","0",",0","0",",0","25",",0","1",",0","","","","","18730920",",,0","","","","","","","18730929",",,0","18730901",",,0","5.0",",0,20,","","","","","12.2",",,0,29,","33.3",",0,01,","38.7","0","38.7",",0","40.7",",,,0","","","","","","","","","19.86",",0","25.09",",,,0","14.63",",,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1873-10","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","632.5","0","6.7",",0","9",",0","9",",0","1",",0","","","","","0",",0","5",",0","0",",0","12",",0","0",",0","","","","","18731029",",,0","","","","","","","18731018",",,0","18731011",",,0","-6.1",",0,29,","","","","","29.2",",,0,18,","25.6",",0,11,","243.7","0","205.0",",0","139.0",",,,0","","","","","","","","","11.94",",0","17.35",",,,0","6.52",",,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1873-11","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","632.5","0","0.0","2,0","11",",0","6",",0","0",",0","","","","","0","1,0","15","1,0","1","1,0","0","1,0","0","1,0","","","","","18731120",",1,0","","","","","","","18731124",",,0","18731111",",1,0","-14.4","1,0,20,","","","","","16.5",",,0,24,","18.3","1,0,11,","637.8","0","394.1","1,0","48.7",",,,0","","","","","","","","","4.32","2,0","8.87","1,,,0","-0.22","1,,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1873-12","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","632.5","0","0.0",",0","15",",0","12",",0","1",",0","","","","","0",",0","19",",0","2",",0","0",",0","0",",0","","","","","18731230",",,0","","","","","","","18731212",",,0","18731212",",,0","-9.4",",0,30,","","","","","27.7",",,0,12,","20.0",",0,12,","1080.3","0","442.5",",0","113.9",",,,0","","","","","","","","","4.06",",0","8.22",",,,0","-0.11",",,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1874-01","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","0.0","0","0.0",",0","16",",0","10",",0","2",",0","","","","","0",",0","22",",0","6",",0","0",",0","0",",0","","","","","18740116",",,0","","","","","","","18740106",",,0","18740122","+,,0","-17.2",",0,16,","","","","","34.5",",,0,06,","18.3",",0,22,+","1581.2","0","500.9",",0","137.6",",,,0","","","","","","","","","2.17",",0","6.32",",,,0","-1.97",",,,0","","","","","","","","","","","","","","","","","",""
"USW00093820","1874-02","38.0408","-84.6058","298.7","LEXINGTON BLUE GRASS AIRPORT, KY US","","","","","","","","","","","0.0","0","0.0",",0","7",",0","7",",0","3",",0","","","","","0",",0","17",",0","0",",0","1",",0","0",",0","","","","","18740226",",,0","","","","","","","18740222",",,0","18740221",",,0","-6.7",",0,26,","","","","","32.3",",,0,22,","21.7",",0,21,","1998.1","0","416.9",",0","124.3",",,,0","","","","","","","","","3.44",",0","7.34",",,,0","-0.46",",,,0","","","","","","","","","","","","","","","","","",""
