"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00093822","1901-01","39.84529","-89.68401","179.7","SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US","","","","","","","","","","","0.0","X","0.0",",X","5",",X","2",",X","1",",X","4",",X","1",",X","0",",X","27",",X","9",",X","0",",X","0",",X","2","","","","19010101",",,X","19010126","+,,X","19010126",",,X","","","19010109",",,X","19010115",",,X","-17.2",",X,01,","25",",,X,26,+","38",",,X,26,","37.1",",,X,09,","17.2",",X,15,","","","","","583.1",",X","","","","","45.7",",,,X","","","","","","","","","46",",,,X","-0.48",",X","3.65",",,,X","-4.61",",,,X","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093822","1901-02","39.84529","-89.68401","179.7","SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US","","","","","","","","","","","0.0","X","0.0",",X","10",",X","3",",X","0",",X","12",",X","1",",X","0",",X","28",",X","16",",X","0",",X","0",",X","","","","","19010206","+,,X","19010207","+,,X","19010202",",,X","","","19010203",",,X","19010217","+,,X","-16.1",",X,06,+","51",",,X,07,+","71",",,X,02,","14.7",",,X,03,","10.0",",X,17,+","","","","","639.4",",X","","","","","33.3",",,,X","","","","","","","","","118",",,,X","-4.50",",X","-0.61",",,,X","-8.39",",,,X","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093822","1901-03","39.84529","-89.68401","179.7","SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US","","","","","","","","","","","0.0","X","0.0",",X","12",",X","5",",X","1",",X","0",",X","0",",X","0",",X","14",",X","1",",X","1",",X","0",",X","4","","","","19010305",",,X","19010320","+,,X","19010304",",,X","2","","19010310",",,X","19010318",",,X","-13.9",",X,05,","0",",T,X,20,+","8",",,X,04,","29.0",",,X,10,","21.1",",X,18,","","","","","423.7",",X","","","","","75.2",",,,X","","","","","","","","","22",",,,X","4.67",",X","8.93",",,,X","0.41",",,,X","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093822","1901-04","39.84529","-89.68401","179.7","SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US","","","","","","","","","","","10.9","X","10.9",",X","8",",X","5",",X","0",",X","0",",X","0",",X","0",",X","6",",X","0",",X","6",",X","0",",X","2","","","","19010401",",,X","19010430","+,,X","19010418","+,,X","","","19010402",",,X","19010430",",,X","-1.1",",X,01,","0",",,X,30,+","0",",T,X,18,+","9.7",",,X,02,","31.1",",X,30,","","","","","245.0",",X","","","","","31.4",",,,X","","","","","","","","","0",",T,,X","10.53",",X","15.85",",,,X","5.21",",,,X","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093822","1901-05","39.84529","-89.68401","179.7","SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US","","","","","","","","","","","44.6","X","33.7",",X","9",",X","3",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","18",",X","0",",X","3","","","","19010526",",,X","19010531","+,,X","19010531","+,,X","3","","19010505",",,X","19010523",",,X","4.4",",X,26,","0",",,X,31,+","0",",,X,31,+","28.7",",,X,05,","31.7",",X,23,","","","","","80.0",",X","","","","","47.8",",,,X","","","","","","","","","0",",,,X","16.84",",X","22.67",",,,X","11.00",",,,X","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093822","1901-06","39.84529","-89.68401","179.7","SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US","","","","","","","","","","","235.6","X","191.0",",X","15",",X","9",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","28",",X","11",",X","","","","","19010609",",,X","19010630","+,,X","19010630","+,,X","14","","19010626",",,X","19010630","+,,X","8.9",",X,09,","0",",,X,30,+","0",",,X,30,+","37.8",",,X,26,","36.7",",X,30,+","","","","","10.9",",X","","","","","135.6",",,,X","","","","","","","","","0",",,,X","24.34",",X","30.23",",,,X","18.45",",,,X","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093822","1901-07","39.84529","-89.68401","179.7","SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US","","","","","","","","","","","541.9","X","306.3",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","27",",X","","","","","19010708",",,X","19010731","+,,X","19010731","+,,X","4","","19010704",",,X","19010722",",,X","13.3",",X,08,","0",",,X,31,+","0",",,X,31,+","10.7",",,X,04,","41.7",",X,22,","","","0.0","X","0.0",",X","","","","","14.9",",,,X","","","","","","","","","0",",,,X","28.21",",X","34.85",",,,X","21.57",",,,X","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093822","1901-08","39.84529","-89.68401","179.7","SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US","","","","","","","","","","","727.1","X","185.2",",X","6",",X","5",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","31",",X","10",",X","","","","","19010831",",,X","19010831","+,,X","19010831","+,,X","5","","19010818",",,X","19010802",",,X","12.8",",X,31,","0",",,X,31,+","0",",,X,31,+","34.0",",,X,18,","37.2",",X,02,","","","0.0","X","0.0",",X","","","","","74.1",",,,X","","","","","","","","","0",",,,X","24.31",",X","30.82",",,,X","17.80",",,,X","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093822","1901-09","39.84529","-89.68401","179.7","SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US","","","","","","","","","","","810.6","X","83.5",",X","8",",X","4",",X","0",",X","0",",X","0",",X","0",",X","0",",X","0",",X","24",",X","3",",X","","","","","19010918",",,X","19010930","+,,X","19010930","+,,X","3","","19010911",",,X","19010907",",,X","1.7",",X,18,","0",",,X,30,+","0",",,X,30,+","21.8",",,X,11,","34.4",",X,07,","","","44.2","X","44.2",",X","","","","","49.5",",,,X","","","","","","","","","0",",,,X","19.64",",X","25.92",",,,X","13.37",",,,X","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00093822","1901-10","39.84529","-89.68401","179.7","SPRINGFIELD ABRAHAM LINCOLN CAPITAL AIRPORT, IL US","","","","","","","","","","","823.2","X","12.6",",X","7",",X","2",",X","1",",X","0",",X","0",",X","0",",X","0",",X","0",",X","14",",X","0",",X","2","","","","19011004",",,X","19011031","+,,X","19011031","+,,X","1","","19011012",",,X","19011001",",,X","1.7",",X,04,","0",",,X,31,+","0",",,X,31,+","37.3",",,X,12,","31.1",",X,01,","","","179.4","X","135.2",",X","","","","","45.2",",,,X","","","","","","","","","0",",,,X","14.38",",X","20.39",",,,X","8.36",",,,X","","","","","","","","","","","","","","","","","","","","","","","",""
